"","SPEC","min_adult","estimate","conf.low","conf.high","n","COMMONNAME","Species1_BirdLife","Species2_eBird","Species3_BirdTree","phylo","sex.sel.m","sex.sel.f"
"33","RBNU",2,-0.092288423088787,-0.121526001643567,-0.0676599993969663,396,"Red-breasted Nuthatch","Sitta canadensis","Sitta canadensis","Sitta canadensis","Sitta_canadensis",0,0
"34","WEWP",0,-0.0244083018233718,-0.0363653411572633,-0.0155720687654289,412,"Western Wood-Pewee","Contopus sordidulus","Contopus sordidulus","Contopus sordidulus","Contopus_sordidulus",1,0
"35","YEWA",10,-0.00138438833200624,-0.00160098038761872,-0.00118759131308183,1518,"Yellow Warbler","Setophaga petechia","Setophaga petechia","Dendroica petechia","Dendroica_petechia",1,0
"36","LEGO",13,-0.00765120031667843,-0.0114491958340853,-0.0044586880802356,372,"Lesser Goldfinch","Spinus psaltria","Spinus psaltria","Carduelis psaltria","Carduelis_psaltria",0,0
"37","YBCH",9,-0.0016791519292409,-0.00199342046051657,-0.0014032944376612,753,"Yellow-breasted Chat","Icteria virens","Icteria virens","Icteria virens","Icteria_virens",2,0
"38","BCCH",1,-0.0589349533648771,-0.0707050023184639,-0.0485198215613687,1642,"Black-capped Chickadee","Poecile atricapillus","Poecile atricapillus","Parus atricapillus","Parus_atricapillus",1,1
"39","GRCA",12,-0.00439107306062851,-0.00514883906987578,-0.00373795359288109,1367,"Gray Catbird","Dumetella carolinensis","Dumetella carolinensis","Dumetella carolinensis","Dumetella_carolinensis",1,0
"40","AMRE",7,-0.0086544948791924,-0.0112421941177425,-0.00657017283441496,634,"American Redstart","Setophaga ruticilla","Setophaga ruticilla","Setophaga ruticilla","Setophaga_ruticilla",2,0
"41","CHSP",5,-0.0147651821081266,-0.0189978622399695,-0.0113707544908,450,"Chipping Sparrow","Spizella passerina","Spizella passerina","Spizella passerina","Spizella_passerina",1,0
"42","COYE",6,-0.00417732166254639,-0.00470566654174134,-0.00369656984550478,1885,"Common Yellowthroat","Geothlypis trichas","Geothlypis trichas","Geothlypis trichas","Geothlypis_trichas",1,0
"43","REVI",3,-0.00711912916889857,-0.00940292847850595,-0.00513066555267223,438,"Red-eyed Vireo","Vireo olivaceus","Vireo olivaceus","Vireo olivaceus","Vireo_olivaceus",0,0
"44","VEER",2,-0.00765696593230022,-0.00983552246574569,-0.00575790865666642,611,"Veery","Catharus fuscescens","Catharus fuscescens","Catharus fuscescens","Catharus_fuscescens",3,3
"45","BEWR",3,-0.0622704504402777,-0.0738156115968841,-0.052647048791655,828,"Bewick's Wren","Thryomanes bewickii","Thryomanes bewickii","Thryomanes bewickii","Thryomanes_bewickii",2,0
"46","NOCA",5,-0.0117582796256625,-0.0133587858019258,-0.0102664105798772,1902,"Northern Cardinal","Cardinalis cardinalis","Cardinalis cardinalis","Cardinalis cardinalis","Cardinalis_cardinalis",0,0
"47","BAWW",3,-0.048640536954459,-0.0573863174583986,-0.0406551437356356,576,"Black-and-white Warbler","Mniotilta varia","Mniotilta varia","Mniotilta varia","Mniotilta_varia",0,0
