phylo,sex,family,order_,nimages,black_36_34_31,blue.dark_58_81_126,blue.light_118_156_200,brown.dark_108_89_54,brown.light_171_148_95,green.dark_56_98_48,green.light_138_172_81,grey.dark_90_85_80,grey.light_153_150_143,purple.dark_86_61_123,purple.light_192_139_179,red.dark_161_51_37,red.light_225_113_80,rufous.dark_131_71_46,rufous.light_200_128_80,white_229_228_223,yellow_229_211_134,blue_79_107_151,green_121_157_74,purple_98_70_129,red_177_67_48,rufous_164_98_62,blue.ex_79_104_150,brown.dark.res_108_89_54,brown.light.res_171_148_97,green.ex_129_157_71,purple.res_131_59_135,red.ex_175_67_50,rufous.res_164_98_62,yellow.ex_229_211_134,brown.dark.alt_111_92_56,green.sat_165_186_57,green.unsat_109_149_79,yellow.sat_237_215_81,yellow.unsat_225_209_156,sex.sel.m,sex.sel.f,territoriality,cooperative,Annual.Mean.Temperature,Annual.Precipitation,fruit.nectar.diet,Nocturnal,migration_strategy_class,developmental_mode,log10BodyMass.Value,nest.safety,openness,ForStrat.high
Melipotes_fumigatus,female,meliphagidae,passeriformes,1,0.194210841,0.000440959,6.30E-05,0.002173297,0.014173675,0,0.000283473,0.386941321,0.278591452,0.000220479,0,0,0,0,0,0.106932502,0.015969007,0.000503953,0.000283473,0.000220479,0,0,0.000692935,0.002173297,0.012094869,0.002362279,0,3.15E-05,0,0.015969007,0.001732338,0.000283473,0,0.014835113,0.001133894,0,0,1,0,161.7169342,3247.408447,1,0,1,1,1.767897616,2,1,60
Melipotes_fumigatus,male,meliphagidae,passeriformes,1,0.194210841,0.000440959,6.30E-05,0.002173297,0.014173675,0,0.000283473,0.386941321,0.278591452,0.000220479,0,0,0,0,0,0.106932502,0.015969007,0.000503953,0.000283473,0.000220479,0,0,0.000692935,0.002173297,0.012094869,0.002362279,0,3.15E-05,0,0.015969007,0.001732338,0.000283473,0,0.014835113,0.001133894,0,0,1,0,161.7169342,3247.408447,1,0,1,1,1.767897616,2,1,60
Melipotes_gymnops,female,meliphagidae,passeriformes,1,0.13602761,0.002062571,0,0.001286554,0.009353047,0,0.00014295,0.439205195,0.290843,4.08E-05,0,0,0,4.08E-05,0,0.104517236,0.01648015,0.002062571,0.00014295,4.08E-05,0,4.08E-05,0.002082993,0.001286554,0.006453194,0.003042803,0,2.04E-05,4.08E-05,0.01648015,0.000939389,0.00014295,0,0.014131678,0.002348472,0,0,1,0,178.4566803,3390.248779,1,0,1,1,1.698970004,2,1,60
Melipotes_gymnops,male,meliphagidae,passeriformes,1,0.13602761,0.002062571,0,0.001286554,0.009353047,0,0.00014295,0.439205195,0.290843,4.08E-05,0,0,0,4.08E-05,0,0.104517236,0.01648015,0.002062571,0.00014295,4.08E-05,0,4.08E-05,0.002082993,0.001286554,0.006453194,0.003042803,0,2.04E-05,4.08E-05,0.01648015,0.000939389,0.00014295,0,0.014131678,0.002348472,0,0,1,0,178.4566803,3390.248779,1,0,1,1,1.698970004,2,1,60
Melithreptus_affinis,female,meliphagidae,passeriformes,1,0.277704737,0.003053565,0,0.166673735,0.150536494,0,2.12E-05,0.149539845,0.079223037,0,0,0,0,0.000954239,0,0.171975063,0.00031808,0.003053565,2.12E-05,0,0,0.000954239,0.003053565,0.166673735,0.12184571,0.028711989,0,0,0.000954239,0.00031808,0.159167055,2.12053E-05,0,2.12053E-05,0.000296874,0,0,1,1,107.4023819,1284.779297,0,0,1,1,1.176091259,2,1.666666667,30
Melithreptus_affinis,male,meliphagidae,passeriformes,1,0.277704737,0.003053565,0,0.166673735,0.150536494,0,2.12E-05,0.149539845,0.079223037,0,0,0,0,0.000954239,0,0.171975063,0.00031808,0.003053565,2.12E-05,0,0,0.000954239,0.003053565,0.166673735,0.12184571,0.028711989,0,0,0.000954239,0.00031808,0.159167055,2.12053E-05,0,2.12053E-05,0.000296874,0,0,1,1,107.4023819,1284.779297,0,0,1,1,1.176091259,2,1.666666667,30
Melithreptus_albogularis,female,meliphagidae,passeriformes,1,0.158046609,0.000415719,0.000709168,0.203237718,0.217763431,0,0.000317903,0.049788472,0.09160492,0,2.45E-05,7.34E-05,0,0.005697797,0.005771159,0.263370259,0.003179028,0.001124887,0.000317903,2.45E-05,7.34E-05,0.011468956,0.001124887,0.203237718,0.176778422,0.041302912,0,9.78E-05,0.011468956,0.003179028,0.19223339,0.000293449,2.44541E-05,0.000342357,0.002836671,0,0,1,1,250.8181,985.0802612,0,0,1,1,1.042575512,2,1.333333333,85
Melithreptus_albogularis,male,meliphagidae,passeriformes,1,0.158046609,0.000415719,0.000709168,0.203237718,0.217763431,0,0.000317903,0.049788472,0.09160492,0,2.45E-05,7.34E-05,0,0.005697797,0.005771159,0.263370259,0.003179028,0.001124887,0.000317903,2.45E-05,7.34E-05,0.011468956,0.001124887,0.203237718,0.176778422,0.041302912,0,9.78E-05,0.011468956,0.003179028,0.19223339,0.000293449,2.44541E-05,0.000342357,0.002836671,0,0,1,1,250.8181,985.0802612,0,0,1,1,1.042575512,2,1.333333333,85
Melithreptus_brevirostris,female,meliphagidae,passeriformes,2,0.154984152,0.000223489,4.50E-05,0.127973089,0.19486582,0,0.00056684,0.210610898,0.106467845,3.77E-05,0,0,0,0.001231299,0.000249301,0.155206857,0.047537735,0.000268468,0.00056684,3.77E-05,0,0.0014806,0.000294919,0.127777328,0.145285011,0.05034341,0,1.12E-05,0.0014806,0.047537735,0.12206411,0.00056684,0,0.006153068,0.041384667,0,0,1,1,176.7144928,534.052124,0,0,1,1,1.100370545,2,1.4,50
Melithreptus_brevirostris,male,meliphagidae,passeriformes,2,0.154984152,0.000223489,4.50E-05,0.127973089,0.19486582,0,0.00056684,0.210610898,0.106467845,3.77E-05,0,0,0,0.001231299,0.000249301,0.155206857,0.047537735,0.000268468,0.00056684,3.77E-05,0,0.0014806,0.000294919,0.127777328,0.145285011,0.05034341,0,1.12E-05,0.0014806,0.047537735,0.12206411,0.00056684,0,0.006153068,0.041384667,0,0,1,1,176.7144928,534.052124,0,0,1,1,1.100370545,2,1.4,50
Melithreptus_gularis,female,meliphagidae,passeriformes,2,0.338285917,0.002077393,0.001159051,0.082343874,0.111116082,0,0.001373514,0.1187626,0.073910847,3.26E-05,1.09E-05,0,0,0.00025055,0.00081685,0.188411982,0.081447873,0.003236444,0.001373514,4.35E-05,0,0.0010674,0.003269044,0.082287695,0.065554949,0.046990826,0,1.09E-05,0.0010674,0.081447873,0.076208064,0.001373514,0,0.027885675,0.053562198,0,0,1,1,186.9682617,619.144043,0,0,1,1,1.288696261,2,1.4,50
Melithreptus_gularis,male,meliphagidae,passeriformes,2,0.338285917,0.002077393,0.001159051,0.082343874,0.111116082,0,0.001373514,0.1187626,0.073910847,3.26E-05,1.09E-05,0,0,0.00025055,0.00081685,0.188411982,0.081447873,0.003236444,0.001373514,4.35E-05,0,0.0010674,0.003269044,0.082287695,0.065554949,0.046990826,0,1.09E-05,0.0010674,0.081447873,0.076208064,0.001373514,0,0.027885675,0.053562198,0,0,1,1,186.9682617,619.144043,0,0,1,1,1.288696261,2,1.4,50
Melithreptus_lunatus,female,meliphagidae,passeriformes,1,0.143632534,0.004212573,0.000789857,0.203297148,0.2455849,0,4.05E-05,0.048343325,0.09293989,6.08E-05,0,0.000506319,0.000162022,0.00103289,0.000992385,0.255225211,0.003179682,0.00500243,4.05E-05,6.08E-05,0.000668341,0.002025275,0.005042936,0.20323639,0.193616332,0.052069831,0,0.000688594,0.002025275,0.003179682,0.192239145,2.02528E-05,2.02528E-05,0.000384802,0.00279488,0,0,1,1,176.6425171,717.2240601,0,0,1,1,1.146438135,2,1.4,85
Melithreptus_lunatus,male,meliphagidae,passeriformes,1,0.143632534,0.004212573,0.000789857,0.203297148,0.2455849,0,4.05E-05,0.048343325,0.09293989,6.08E-05,0,0.000506319,0.000162022,0.00103289,0.000992385,0.255225211,0.003179682,0.00500243,4.05E-05,6.08E-05,0.000668341,0.002025275,0.005042936,0.20323639,0.193616332,0.052069831,0,0.000688594,0.002025275,0.003179682,0.192239145,2.02528E-05,2.02528E-05,0.000384802,0.00279488,0,0,1,1,176.6425171,717.2240601,0,0,1,1,1.146438135,2,1.4,85
Melithreptus_validirostris,female,meliphagidae,passeriformes,1,0.303902314,0.001423163,8.54E-05,0.22688071,0.101670794,0,0,0.11487775,0.109071244,5.69E-05,0,2.85E-05,0,0.002191672,0.002476304,0.125807645,0.011527624,0.001508553,0,5.69E-05,2.85E-05,0.004667976,0.001508553,0.22688071,0.101528477,0.000142316,0,8.54E-05,0.004667976,0.011527624,0.214840748,0,0,0,0.011527624,0,0,1,1,107.5814667,1199.093018,0,0,1,1,1.394451681,2,1.666666667,45
Melithreptus_validirostris,male,meliphagidae,passeriformes,1,0.303902314,0.001423163,8.54E-05,0.22688071,0.101670794,0,0,0.11487775,0.109071244,5.69E-05,0,2.85E-05,0,0.002191672,0.002476304,0.125807645,0.011527624,0.001508553,0,5.69E-05,2.85E-05,0.004667976,0.001508553,0.22688071,0.101528477,0.000142316,0,8.54E-05,0.004667976,0.011527624,0.214840748,0,0,0,0.011527624,0,0,1,1,107.5814667,1199.093018,0,0,1,1,1.394451681,2,1.666666667,45
Melitograis_gilolensis,female,meliphagidae,passeriformes,1,0.260003114,0,0,0.12880793,0.005942187,0,0,0.480876018,0.078779387,0,0,0,0,0,0,0.045150241,0.000441123,0,0,0,0,0,0,0.12880793,0.005942187,0,0,0,0,0.000441123,0.121698064,0,0,0,0.000441123,0,0,1,0,254.1500854,2345.068604,0,0,1,1,1.73239376,2,1,20
Melitograis_gilolensis,male,meliphagidae,passeriformes,1,0.260003114,0,0,0.12880793,0.005942187,0,0,0.480876018,0.078779387,0,0,0,0,0,0,0.045150241,0.000441123,0,0,0,0,0,0,0.12880793,0.005942187,0,0,0,0,0.000441123,0.121698064,0,0,0,0.000441123,0,0,1,0,254.1500854,2345.068604,0,0,1,1,1.73239376,2,1,20
Mellisuga_helenae,female,trochilidae,apodiformes,1,0.171055957,0.002375777,0.005105394,0.007026235,0.004422989,0.055881312,0.073446899,0.176237173,0.121670121,2.53E-05,0,0,0,2.53E-05,0,0.382297933,0.000429662,0.007481171,0.129328211,2.53E-05,0,2.53E-05,0.007481171,0.007026235,0.004422989,0.129328211,0,2.53E-05,2.53E-05,0.000429662,0.006293282,5.05485E-05,0.129277663,0,0.000429662,5,0,0,0,251.166687,1321.388672,1,0,1,1,0.342422681,2,1.2,-20
Mellisuga_helenae,male,trochilidae,apodiformes,1,0.301969625,0.009314191,0.002284053,0.004538443,0.003618889,0.033192928,0.056211438,0.169702183,0.089285714,0.007267442,0.000711913,0.112274561,0.003767205,0.047787138,0.000622924,0.15644281,0.001008543,0.011598244,0.089404366,0.007979355,0.116041766,0.048410062,0.011687233,0.004538443,0.003618889,0.089404366,2.97E-05,0.123902468,0.048410062,0.001008543,0.004123161,5.93261E-05,0.08934504,0,0.001008543,5,0,0,0,251.166687,1321.388672,1,0,1,1,0.342422681,2,1.2,-20
Mellisuga_minima,female,trochilidae,apodiformes,1,0.17801496,0,2.14E-05,0.042949913,0.028611843,0.069525708,0.083863778,0.140358773,0.065989413,0,0,0,0,0,0,0.381726998,0.008937183,2.14E-05,0.153389485,0,0,0,2.14E-05,0.042928481,0.028397522,0.153625238,0,0,0,0.008937183,0.037570458,0.006386764,0.147002722,6.42963E-05,0.008872886,5,0,0,0,242.3879242,1416.711426,1,0,1,1,0.380211242,2,1.333333333,-20
Mellisuga_minima,male,trochilidae,apodiformes,1,0.174809313,0,0,0.035313216,0.012497498,0.113633837,0.104316307,0.19735818,0.133869999,0,0,0,0,0,0,0.224932731,0.003268919,0,0.217950143,0,0,0,0,0.035290978,0.012475261,0.217994619,0,0,0,0.003268919,0.031621784,0.007471814,0.21047833,4.44751E-05,0.003224444,5,0,0,0,242.3879242,1416.711426,1,0,1,1,0.380211242,2,1.333333333,-20
Melocichla_mentalis,female,sylviidae,passeriformes,2,0.153056985,1.20E-05,1.20E-05,0.066843763,0.227969261,0,6.97E-05,0.226369153,0.094906531,0,0,0,0,0.000495878,0.000920195,0.149056406,0.080288078,2.41E-05,6.97E-05,0,0,0.001416073,2.41E-05,0.066843763,0.227958468,8.05E-05,0,0,0.001416073,0.080288078,0.064391213,2.15862E-05,4.81093E-05,0.000118724,0.080169354,0,0,1,0,234.3061676,1347.220947,0,0,1,1,1.521138084,2,2,-100
Melocichla_mentalis,male,sylviidae,passeriformes,2,0.153056985,1.20E-05,1.20E-05,0.066843763,0.227969261,0,6.97E-05,0.226369153,0.094906531,0,0,0,0,0.000495878,0.000920195,0.149056406,0.080288078,2.41E-05,6.97E-05,0,0,0.001416073,2.41E-05,0.066843763,0.227958468,8.05E-05,0,0,0.001416073,0.080288078,0.064391213,2.15862E-05,4.81093E-05,0.000118724,0.080169354,0,0,1,0,234.3061676,1347.220947,0,0,1,1,1.521138084,2,2,-100
Melophus_lathami,female,emberizidae,passeriformes,1,0.026181915,0.000115996,0.000165708,0.560988947,0.151507117,0,0,0.179826669,0.037682072,0.000314846,0.000447412,0,0,0.013124099,0.001541087,0.02409399,0.004010141,0.000281704,0,0.000762258,0,0.014665186,0.000314846,0.560988947,0.151109417,0.0003977,0,0.000729117,0.014665186,0.004010141,0.525527367,0,0,6.62833E-05,0.003943858,0,0,1,0,157.9372253,1284.791382,0,0,2,1,1.340444115,2.5,2.666666667,-100
Melophus_lathami,male,emberizidae,passeriformes,1,0.352553601,0.007390128,0.001210912,0.194369257,0.051837738,0,0,0.195704822,0.049878909,0.000427381,0.000712301,1.78E-05,0,0.115909253,0.004398461,0.021564926,0.004024503,0.00860104,0,0.001139682,1.78E-05,0.120307714,0.008796923,0.194369257,0.051445972,0.000391766,0,0.000961607,0.120307714,0.004024503,0.186694209,0,0,8.90377E-05,0.003935465,0,0,1,0,157.9372253,1284.791382,0,0,2,1,1.340444115,2.5,2.666666667,-100
Melopsittacus_undulatus,female,psittacidae,psittaciformes,1,0.164650184,0.029743118,0.016811327,0.065930212,0.068297387,0.051880589,0.310275294,0.050960021,0.024964931,0.00396721,6.58E-05,0,0,0.000350693,6.58E-05,0.0279239,0.184113624,0.046554445,0.362155883,0.004032965,0,0.000416447,0.049842188,0.065732948,0.055782045,0.37486849,4.38E-05,0.000701385,0.000416447,0.184113624,0.047299667,0.14292916,0.219226723,0.134644047,0.049469577,0,0,0,0,226.5929413,357.461731,0,0,1,1,1.462248215,4,2.4,-80
Melopsittacus_undulatus,male,psittacidae,psittaciformes,1,0.206039792,0.032946471,0.018261487,0.040241592,0.043889152,0.056371388,0.326006632,0.051657982,0.026646139,0.005921364,0.000213169,0,0,0.001113216,0.000118427,0.033538607,0.157034581,0.051207958,0.38237802,0.006134533,0,0.001231644,0.056134533,0.039862624,0.034438655,0.392207485,0.000118427,0.001089531,0.001231644,0.157034581,0.024514448,0.145215538,0.237162482,0.098531502,0.058503079,0,0,0,0,226.5929413,357.461731,0,0,1,1,1.462248215,4,2.4,-80
Melopyrrha_nigra,female,emberizidae,passeriformes,2,0.30014059,0,0,0,0,0,0,0.500197576,0.125264905,0,0,0,0,0,0,0.074396929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,251.1675262,1325.327881,0,0,1,1,1.172602931,3,1.333333333,20
Melopyrrha_nigra,male,emberizidae,passeriformes,2,0.511146774,0.015652177,0.000162106,0,0,0,0,0.306795429,0.050225117,0,0,0,0,0,0,0.116018398,0,0.015814283,0,0,0,0,0.015814283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,251.1675262,1325.327881,0,0,1,1,1.172602931,3,1.333333333,20
Melospiza_georgiana,female,emberizidae,passeriformes,1,0.045434811,0.000320894,0.000113257,0.162466731,0.186363894,0,0,0.109481473,0.24601242,7.55E-05,0,0.000453027,0,0.080959662,0.00879627,0.146082262,0.013439795,0.000434151,0,7.55E-05,0.000453027,0.089755932,0.000509655,0.162466731,0.186363894,0,0,0.000453027,0.089755932,0.013439795,0.145478226,0,0,0,0.013439795,2,0,1,0,24.2660656,723.3540039,0,0,2,1,1.206825876,1.5,3,-100
