BirdLife,eBird,Incu1,Incu2,Fldg1,Fldg2,Incu_Sex
Cyanochen cyanoptera,Cyanochen cyanoptera,30,34,85,100,F
Alopochen aegyptiaca,Alopochen aegyptiaca,28,30,55,75,F
Alopochen mauritiana,Alopochen mauritiana,,,,,
Alopochen kervazoi,Alopochen kervazoi,,,,,
Neochen jubata,Oressochen jubatus,28,34,55,65,F
Chloephaga melanoptera,Oressochen melanopterus,30,,84,,F
Chloephaga picta,Chloephaga picta,30,,63,70,F
Chloephaga hybrida,Chloephaga hybrida,30,,84,91,F
Chloephaga poliocephala,Chloephaga poliocephala,30,,,,F
Chloephaga rubidiceps,Chloephaga rubidiceps,30,,,,F
Radjah radjah,Radjah radjah,30,,,,F
Tadorna tadorna,Tadorna tadorna,28,31,45,50,F
Tadorna ferruginea,Tadorna ferruginea,28,29,55,,F
Tadorna cana,Tadorna cana,30,,60,75,F
Tadorna tadornoides,Tadorna tadornoides,30,33,50,70,F
Tadorna variegata,Tadorna variegata,32,33,55,65,F
Tadorna cristata,Tadorna cristata,,,,,
Malacorhynchus membranaceus,Malacorhynchus membranaceus,26,,45,60,F
Salvadorina waigiuensis,Salvadorina waigiuensis,28,,,,
Cairina moschata,Cairina moschata,35,,105,,F
Asarcornis scutulata,Asarcornis scutulata,33,35,98,,F
Pteronetta hartlaubii,Pteronetta hartlaubii,30,32,56,,F
Aix sponsa,Aix sponsa,28,36,60,,F
Aix galericulata,Aix galericulata,28,33,40,45,F
Chenonetta jubata,Chenonetta jubata,28,34,57,,F
Chenonetta finschi,Chenonetta finschi,,,,,
Nettapus auritus,Nettapus auritus,21,28,38,60,F
Nettapus coromandelianus,Nettapus coromandelianus,,,,,F
Nettapus pulchellus,Nettapus pulchellus,,,,,F
Amazonetta brasiliensis,Amazonetta brasiliensis,25,29,,,F
Callonetta leucophrys,Callonetta leucophrys,25,28,,,F
Lophonetta specularioides,Lophonetta specularioides,30,,70,77,F
Speculanas specularis,Speculanas specularis,30,31,,,F
Sibirionetta formosa,Sibirionetta formosa,24,25,25,40,F
Spatula querquedula,Spatula querquedula,21,23,35,40,F
Spatula hottentota,Spatula hottentota,25,27,60,65,F
Spatula puna,Spatula puna,25,26,,,F
Spatula versicolor,Spatula versicolor,25,26,,,F
Spatula platalea,Spatula platalea,25,,,,F
Spatula cyanoptera,Spatula cyanoptera,21,25,49,,F
Spatula discors,Spatula discors,19,28,35,49,F
Spatula smithii,Spatula smithii,27,28,56,63,F
Spatula rhynchotis,Spatula rhynchotis,24,26,56,70,F
Spatula clypeata,Spatula clypeata,22,27,36,66,F
Mareca strepera,Mareca strepera,21,27,48,63,F
Mareca falcata,Mareca falcata,24,26,,,F
Mareca penelope,Mareca penelope,24,25,40,45,F
Mareca sibilatrix,Mareca sibilatrix,24,26,,,F
Mareca americana,Mareca americana,23,25,37,48,F
Anas marecula,Mareca marecula,,,,,
Anas sparsa,Anas sparsa,25,28,86,,F
Anas undulata,Anas undulata,26,30,68,,F
Anas melleri,Anas melleri,28,29,63,77,F
Anas superciliosa,Anas superciliosa,26,32,52,66,F
Anas laysanensis,Anas laysanensis,,,,,
Anas wyvilliana,Anas wyvilliana,,,,,
Anas luzonica,Anas luzonica,25,27,56,,F
Anas poecilorhyncha,Anas poecilorhyncha,24,28,49,56,F
Anas zonorhyncha,Anas zonorhyncha,24,28,49,56,F
Anas platyrhynchos,Anas platyrhynchos,26,28,45,63,F
Anas fulvigula,Anas fulvigula,,,,,
Anas rubripes,Anas rubripes,23,33,58,63,F
,Anas diazi,23,30,52,70,F
Anas capensis,Anas capensis,26,30,42,56,F
Anas bahamensis,Anas bahamensis,25,26,45,60,F
Anas erythrorhyncha,Anas erythrorhyncha,25,28,56,,F
Anas georgica,Anas georgica,24,28,,,F
Anas eatoni,Anas eatoni,,,,,f
Anas acuta,Anas acuta,21,25,40,45,F
Anas crecca,Anas crecca,22,22,28,,F
Anas carolinensis,,,,,,
Anas flavirostris,Anas flavirostris,24,35,42,49,F
Anas andium,Anas andium,24,35,42,49,F
Anas gibberifrons,Anas gibberifrons,26,30,49,56,F
Anas albogularis,Anas albogularis,26,30,,,F
Anas theodori,Anas theodori,,,,,
Anas gracilis,Anas gracilis,,,,,
Anas castanea,Anas castanea,23,29,56,80,F
Anas bernieri,Anas bernieri,25,28,45,49,F
Anas chlorotis,Anas chlorotis,,,,,
Anas aucklandica,Anas aucklandica,27,35,50,70,F
Anas nesiotis,Anas nesiotis,,,,,
Marmaronetta angustirostris,Marmaronetta angustirostris,25,27,50,54,F
Rhodonessa caryophyllacea,Rhodonessa caryophyllacea,,,,,
Netta rufina,Netta rufina,26,28,45,50,F
Netta peposaca,Netta peposaca,27,29,,,F
Netta erythrophthalma,Netta erythrophthalma,20,28,56,65,F
Aythya valisineria,Aythya valisineria,23,29,63,77,F
Aythya americana,Aythya americana,23,29,56,73,F
Aythya ferina,Aythya ferina,24,28,50,55,F
Aythya australis,Aythya australis,25,32,,,F
Aythya innotata,Aythya innotata,26,28,,,F
Aythya baeri,Aythya baeri,27,,,,
Aythya nyroca,Aythya nyroca,25,28,55,60,F
Aythya novaeseelandiae,Aythya novaeseelandiae,27,31,49,75,F
Aythya collaris,Aythya collaris,25,29,49,56,F
Aythya fuligula,Aythya fuligula,23,28,45,50,F
Aythya marila,Aythya marila,26,28,40,45,F
Aythya affinis,Aythya affinis,21,22,45,50,F
Polysticta stelleri,Polysticta stelleri,26,27,49,,F
Camptorhynchus labradorius,Camptorhynchus labradorius,,,,,
Somateria fischeri,Somateria fischeri,23,24,50,53,F
Somateria spectabilis,Somateria spectabilis,22,24,50,60,F
Somateria mollissima,Somateria mollissima,23,30,60,75,F
Histrionicus histrionicus,Histrionicus histrionicus,27,29,42,70,F
Melanitta perspicillata,Melanitta perspicillata,,55,,,
Melanitta fusca,Melanitta fusca,27,28,50,55,F
Melanitta deglandi,Melanitta deglandi,25,31,50,55,F
Melanitta stejnegeri,Melanitta stejnegeri,,,50,55,F
Melanitta nigra,Melanitta nigra,30,31,45,50,F
Melanitta americana,Melanitta americana,30,31,45,50,
Clangula hyemalis,Clangula hyemalis,24,29,35,40,F
Bucephala albeola,Bucephala albeola,28,33,50,55,F
Bucephala clangula,Bucephala clangula,28,32,57,66,F
Bucephala islandica,Bucephala islandica,28,34,56,,F
Mergellus albellus,Mergellus albellus,26,28,70,,F
Lophodytes cucullatus,Lophodytes cucullatus,29,37,71,,F
Mergus australis,Mergus australis,,,,,
Mergus octosetaceus,Mergus octosetaceus,34,,,,F
Mergus merganser,Mergus merganser,30,32,60,70,F
Mergus serrator,Mergus serrator,28,35,59,69,F
Mergus squamatus,Mergus squamatus,31,35,56,,F
Heteronetta atricapilla,Heteronetta atricapilla,24,25,,,
Nomonyx dominicus,Nomonyx dominicus,23,24,45,,B
Oxyura jamaicensis,Oxyura jamaicensis,24,26,50,55,F
Oxyura ferruginea,Oxyura ferruginea,24,26,50,55,F
Oxyura vittata,Oxyura vittata,23,24,56,63,F
Oxyura australis,Oxyura australis,24,27,56,,F
Oxyura maccoa,Oxyura maccoa,25,27,,,F
Oxyura leucocephala,Oxyura leucocephala,22,26,60,70,F
Biziura lobata,Biziura lobata,24,,,,F
Alectura lathami,Alectura lathami,47,52,,,
Aepypodius arfakianus,Aepypodius arfakianus,,,,,
Aepypodius bruijnii,Aepypodius bruijnii,,,,,
Talegalla cuvieri,Talegalla cuvieri,,,,,
Talegalla fuscirostris,Talegalla fuscirostris,,,,,
Talegalla jobiensis,Talegalla jobiensis,,,,,
Leipoa ocellata,Leipoa ocellata,49,96,,,M
Macrocephalon maleo,Macrocephalon maleo,62,85,,,
Eulipoa wallacei,Eulipoa wallacei,97,101,,,
Megapodius pritchardii,Megapodius pritchardii,47,67,,,
Megapodius laperouse,Megapodius laperouse,,,,,
Megapodius nicobariensis,Megapodius nicobariensis,,,,,
Megapodius cumingii,Megapodius cumingii,63,,,,
Megapodius bernsteinii,Megapodius bernsteinii,60,,,,
Megapodius tenimberensis,Megapodius tenimberensis,,,,,
Megapodius freycinet,Megapodius freycinet,,,,,
Megapodius geelvinkianus,Megapodius geelvinkianus,,,,,
Megapodius eremita,Megapodius eremita,42,70,,,
Megapodius layardi,Megapodius layardi,45,,,,
Megapodius decollatus,Megapodius decollatus,,,,,
Megapodius reinwardt,Megapodius reinwardt,70,,,,
Ortalis vetula,Ortalis vetula,22,27,,,
Ortalis cinereiceps,Ortalis cinereiceps,22,,,,
Ortalis garrula,Ortalis garrula,26,,,,F
Ortalis ruficauda,Ortalis ruficauda,28,,,,
Ortalis erythroptera,Ortalis erythroptera,26,28,,,
Ortalis wagleri,Ortalis wagleri,,,,,
Ortalis poliocephala,Ortalis poliocephala,,,,,F
Ortalis canicollis,Ortalis canicollis,,,,,F
Ortalis leucogastra,Ortalis leucogastra,22,26,,,F
Ortalis guttata,Ortalis guttata,21,30,,,
