BirdLife,eBird,Incu1,Incu2,Fldg1,Fldg2,Incu_Sex
Vanellus lugubris,Vanellus lugubris,18,20,,,
Vanellus melanopterus,Vanellus melanopterus,,,,,
Vanellus coronatus,Vanellus coronatus,28,32,28,,
Vanellus senegallus,Vanellus senegallus,30,32,40,,
Vanellus melanocephalus,Vanellus melanocephalus,,,,,
Vanellus superciliosus,Vanellus superciliosus,24,,,,B
Vanellus cinereus,Vanellus cinereus,28,29,,,
Vanellus indicus,Vanellus indicus,26,30,38,,
Vanellus macropterus,Vanellus macropterus,,,,,
Vanellus tricolor,Vanellus tricolor,26,28,,,B
Vanellus miles,Vanellus miles,28,30,35,56,
Vanellus novaehollandiae,,28,30,35,56,B
Vanellus gregarius,Vanellus gregarius,25,22,35,40,F
Vanellus leucurus,Vanellus leucurus,21,24,30,30,B
Vanellus chilensis,Vanellus chilensis,27,,28,,
Vanellus resplendens,Vanellus resplendens,,,,,
Erythrogonys cinctus,Erythrogonys cinctus,,,,,B
Peltohyas australis,Peltohyas australis,26,30,,,B
Charadrius asiaticus,Anarhynchus asiaticus,25,25,27,30,B
Charadrius veredus,Anarhynchus veredus,,,,,F
Charadrius atrifrons,Anarhynchus atrifrons,22,24,30,35,
Charadrius mongolus,Anarhynchus mongolus,22,24,30,35,F
Charadrius leschenaultii,Anarhynchus leschenaultii,24,24,27,30,B
Charadrius bicinctus,Anarhynchus bicinctus,25,28,35,42,B
Anarhynchus frontalis,Anarhynchus frontalis,30,36,35,37,B
Charadrius obscurus,Anarhynchus obscurus,28,32,28,52,B
Charadrius aquilonius,,28,32,28,52,B
Charadrius wilsonia,Anarhynchus wilsonia,23,27,31,35,B
Charadrius collaris,Anarhynchus collaris,,,,,B
Charadrius montanus,Anarhynchus montanus,28,31,33,36,M
Charadrius alticola,Anarhynchus alticola,,,,,
Charadrius falklandicus,Anarhynchus falklandicus,28,,,,B
Charadrius thoracicus,Anarhynchus thoracicus,,,,,
Charadrius pecuarius,Anarhynchus pecuarius,22,28,26,32,B
Charadrius sanctaehelenae,Anarhynchus sanctaehelenae,,,,,
Charadrius ruficapillus,Anarhynchus ruficapillus,30,31,,,F
Charadrius nivosus,Anarhynchus nivosus,23,33,28,33,B
Charadrius pallidus,Anarhynchus pallidus,,,,,B
Charadrius peronii,Anarhynchus peronii,,,,,
Charadrius marginatus,Anarhynchus marginatus,26,33,35,38,B
Charadrius javanicus,Anarhynchus javanicus,,,,,
Charadrius alexandrinus,Anarhynchus alexandrinus,23,29,27,31,B
Charadrius dealbatus,Anarhynchus dealbatus,22,,,,F
Pluvianus aegyptius,Pluvianus aegyptius,28,31,30,35,B
Rostratula benghalensis,Rostratula benghalensis,15,21,,,
Rostratula australis,Rostratula australis,15,16,,,M
Nycticryphes semicollaris,Nycticryphes semicollaris,15,18,,,B
Hydrophasianus chirurgus,Hydrophasianus chirurgus,,,50,60,M
Jacana spinosa,Jacana spinosa,28,,,84,M
Jacana jacana,Jacana jacana,28,,,,M
Microparra capensis,Microparra capensis,22,24,,,B
Irediparra gallinacea,Irediparra gallinacea,28,,50,60,M
Metopidius indicus,Metopidius indicus,26,,,,M
Actophilornis africanus,Actophilornis africanus,20,26,40,70,M
Actophilornis albinucha,Actophilornis albinucha,,,,,
Pedionomus torquatus,Pedionomus torquatus,23,,,,M
Attagis gayi,Attagis gayi,,,,,
Attagis malouinus,Attagis malouinus,,,,,
Thinocorus orbignyianus,Thinocorus orbignyianus,,,,,
Thinocorus rumicivorus,Thinocorus rumicivorus,26,,49,,
Bartramia longicauda,Bartramia longicauda,21,29,27,37,B
Numenius tahitiensis,Numenius tahitiensis,,,,,B
Numenius phaeopus,Numenius phaeopus,22,28,35,40,B
,,,,,,
Numenius minutus,Numenius minutus,22,23,35,,B
Numenius borealis,Numenius borealis,,,,,B
Numenius americanus,Numenius americanus,27,28,41,45,B
Numenius madagascariensis,Numenius madagascariensis,,,,,
Numenius tenuirostris,Numenius tenuirostris,,,,,
Numenius arquata,Numenius arquata,27,29,32,38,B
Limosa lapponica,Limosa lapponica,20,21,28,28,B
Limosa limosa,Limosa limosa,22,24,28,34,B
Limosa haemastica,Limosa haemastica,22,25,30,,B
Limosa fedoa,Limosa fedoa,23,26,26,30,B
Limnodromus semipalmatus,Limnodromus semipalmatus,22,,,,B
Limnodromus scolopaceus,Limnodromus scolopaceus,20,21,,,B
Limnodromus griseus,Limnodromus griseus,19,21,,,B
Lymnocryptes minimus,Lymnocryptes minimus,21,24,,,F
Scolopax minor,Scolopax minor,20,22,14,15,F
Scolopax rusticola,Scolopax rusticola,24,48,18,22,F
Scolopax mira,Scolopax mira,,,,,
Scolopax bukidnonensis,Scolopax bukidnonensis,,,,,
Scolopax saturata,Scolopax saturata,,,,,
Scolopax rosenbergii,Scolopax rosenbergii,,,,,
Scolopax celebensis,Scolopax celebensis,,,,,
Scolopax rochussenii,Scolopax rochussenii,,,,,
Coenocorypha barrierensis,Coenocorypha barrierensis,,,,,
Coenocorypha iredalei,Coenocorypha iredalei,,,,,
Coenocorypha pusilla,Coenocorypha pusilla,20,,21,41,B
Coenocorypha huegeli,Coenocorypha huegeli,22,22,57,79,B
Coenocorypha aucklandica,Coenocorypha aucklandica,22,39,30,65,B
Gallinago imperialis,Gallinago imperialis,,,,,
Gallinago jamesoni,Gallinago jamesoni,,,,,
Gallinago stricklandii,Gallinago stricklandii,,,,,
Gallinago solitaria,Gallinago solitaria,,,,,
Gallinago nemoricola,Gallinago nemoricola,,,,,
Gallinago media,Gallinago media,22,24,21,28,F
Gallinago megala,Gallinago megala,18,20,18,20,
Gallinago stenura,Gallinago stenura,20,20,22.5,60,F
Gallinago hardwickii,Gallinago hardwickii,,,,,F
Gallinago nigripennis,Gallinago nigripennis,,,,,
Gallinago gallinago,Gallinago gallinago,17,20,19,20,F
Gallinago delicata,Gallinago delicata,18,20,19,20,F
Gallinago undulata,Gallinago undulata,,,,,
Gallinago nobilis,Gallinago nobilis,,,,,
Gallinago andina,Gallinago andina,,,,,
Gallinago macrodactyla,Gallinago macrodactyla,,,,,
Gallinago paraguaiae,Gallinago paraguaiae,19,,,,B
Gallinago magellanica,Gallinago magellanica,,,,,
Steganopus tricolor,Phalaropus tricolor,18,27,,,M
Phalaropus fulicarius,Phalaropus fulicarius,18,20,16,20,M
Phalaropus lobatus,Phalaropus lobatus,17,21,18,21,M
Xenus cinereus,Xenus cinereus,23,24,15,20,B
Actitis hypoleucos,Actitis hypoleucos,21,22,22,28,B
Actitis macularius,Actitis macularius,19,24,18,21,M
Tringa ochropus,Tringa ochropus,20,23,28,28,B
Tringa solitaria,Tringa solitaria,,,,,B
Tringa brevipes,Tringa brevipes,,,,,B
Tringa incana,Tringa incana,23,25,,,B
Tringa stagnatilis,Tringa stagnatilis,23,23,28,28,B
Tringa glareola,Tringa glareola,22,23,28,30,B
Tringa totanus,Tringa totanus,23,24,23,35,B
Tringa flavipes,Tringa flavipes,22,23,23,25,B
Tringa guttifer,Tringa guttifer,,,,,B
Tringa semipalmata,Tringa semipalmata,21,29,,,B
Tringa erythropus,Tringa erythropus,23,23,28,30,M
Tringa nebularia,Tringa nebularia,22,26,25,31,B
Tringa melanoleuca,Tringa melanoleuca,23,,,,B
Prosobonia cancellata,Prosobonia cancellata,,,,,
Prosobonia leucoptera,Prosobonia leucoptera,,,,,
Prosobonia ellisi,Prosobonia ellisi,,,,,
Prosobonia parvirostris,Prosobonia parvirostris,,,,,
Arenaria interpres,Arenaria interpres,21,24,19,23,B
Arenaria melanocephala,Arenaria melanocephala,21,,,,B
Calidris tenuirostris,Calidris tenuirostris,21,,20,25,B
Calidris canutus,Calidris canutus,21,22,18,20,B
Calidris virgata,Calidris virgata,,,,,B
Calidris pugnax,Calidris pugnax,20,23,25,28,F
Calidris falcinellus,Calidris falcinellus,21,22,,,B
Calidris acuminata,Calidris acuminata,,,,,F
Calidris himantopus,Calidris himantopus,19.5,21,,50,B
Calidris ferruginea,Calidris ferruginea,20.3,,14,20,F
Calidris temminckii,Calidris temminckii,21,22,15,18,B
Calidris subminuta,Calidris subminuta,,,,,B
Calidris ruficollis,Calidris ruficollis,20.5,22,16,17,B
Calidris pygmaea,Calidris pygmaea,19,23,15,20,B
Calidris subruficollis,Calidris subruficollis,23,25,18,20,F
Calidris alba,Calidris alba,23,32,17,21,B
Calidris alpina,Calidris alpina,20,24,18,24,B
Calidris maritima,Calidris maritima,21,24.5,4,17,B
Calidris ptilocnemis,Calidris ptilocnemis,20,,,,B
Calidris bairdii,Calidris bairdii,19,21,19,20,B
Calidris minuta,Calidris minuta,20,21,,,B
Calidris minutilla,Calidris minutilla,19.5,23,14,23,B
Calidris fuscicollis,Calidris fuscicollis,22,,16,17,F
Calidris melanotos,Calidris melanotos,21,23,28,42,F
Calidris mauri,Calidris mauri,21,,18,21,B
Calidris pusilla,Calidris pusilla,20,22,16,19,B
Dromas ardeola,Dromas ardeola,,,,,
Smutsornis africanus,Smutsornis africanus,26,27,35,42,B
Rhinoptilus chalcopterus,Rhinoptilus chalcopterus,25,27,,,B
Rhinoptilus cinctus,Rhinoptilus cinctus,25,27,,,
Rhinoptilus bitorquatus,Rhinoptilus bitorquatus,,,,,
Cursorius coromandelicus,Cursorius coromandelicus,35,,,,F
Cursorius temminckii,Cursorius temminckii,,,,,B
Cursorius rufus,Cursorius rufus,,,,,
Cursorius cursor,Cursorius cursor,18,19,30,,B
Cursorius somalensis,Cursorius somalensis,,,,,B
Stiltia isabella,Glareola isabella,18,21,21,35,B
Glareola nuchalis,Glareola nuchalis,20,,20,30,B
Glareola cinerea,Glareola cinerea,,,,,
Glareola lactea,Glareola lactea,17,18,,,B
Glareola maldivarum,Glareola maldivarum,,,,,
Glareola nordmanni,Glareola nordmanni,18,18,35,42,B
Glareola pratincola,Glareola pratincola,17,19,25,30,B
Glareola ocularis,Glareola ocularis,,,,,
Rynchops flavirostris,Rynchops flavirostris,21,,28,,B
Rynchops albicollis,Rynchops albicollis,21,24,,,B
Rynchops niger,Rynchops niger,21,25,28,30,B
Gygis alba,Gygis alba,21,41,31,75,B
Gygis candida,,21,41,31,75,B
Gygis microrhyncha,,,,,,
Anous stolidus,Anous stolidus,30,41,39,56,B
Anous tenuirostris,Anous tenuirostris,34,,40,,
Anous minutus,Anous minutus,30,39,39,52,B
Anous albivittus,Anous albivitta,,,32,45,
Anous ceruleus,Anous ceruleus,,,,,
Onychoprion aleuticus,Onychoprion aleuticus,22,27,26,28,
Onychoprion fuscatus,Onychoprion fuscatus,26,33,56,70,B
Onychoprion anaethetus,Onychoprion anaethetus,28,30,50,65,
Onychoprion lunatus,Onychoprion lunatus,24,35,35,,
Sternula albifrons,Sternula albifrons,21,24,20,24,B
Sternula saundersi,Sternula saundersi,,,,,
Sternula antillarum,Sternula antillarum,19,25,21,,
Sternula superciliaris,Sternula superciliaris,,,,,
Sternula lorata,Sternula lorata,22,26,17,21,B
Sternula nereis,Sternula nereis,20,25,22,23,
Sternula balaenarum,Sternula balaenarum,18,22,20,,
Phaetusa simplex,Phaetusa simplex,,,,,
Gelochelidon nilotica,Gelochelidon nilotica,22,23,28,35,B
Gelochelidon macrotarsa,Gelochelidon macrotarsa,16,16,,,B
Hydroprogne caspia,Hydroprogne caspia,26,28,35,45,B
Larosterna inca,Larosterna inca,,,28,,B
Chlidonias hybrida,Chlidonias hybrida,18,20,23,23,B
Chlidonias albostriatus,Chlidonias albostriatus,21,23,,,
Chlidonias niger,Chlidonias niger,20,23,22,25,B
Chlidonias leucopterus,Chlidonias leucopterus,18,22,20,25,B
Sterna aurantia,Sterna aurantia,18,19,,,
Sterna forsteri,Sterna forsteri,23,26,,,
Sterna trudeaui,Sterna trudeaui,,,,,
Sterna paradisaea,Sterna paradisaea,22,27,21,24,B
Sterna hirundinacea,Sterna hirundinacea,21,23,27,,
Sterna vittata,Sterna vittata,23,25,27,32,
Sterna virgata,Sterna virgata,24,,31,39,
Sterna hirundo,Sterna hirundo,22,28,24,28,B
Sterna repressa,Sterna repressa,,,,,
Sterna sumatrana,Sterna sumatrana,21,23,,,
Sterna dougallii,Sterna dougallii,22,26,23,30,B
Sterna striata,Sterna striata,,,29,35,
Sterna acuticauda,Sterna acuticauda,,,,,
Thalasseus sandvicensis,Thalasseus sandvicensis,21,29,27,29,B
,,21,29,27,29,B
Thalasseus elegans,Thalasseus elegans,25,,30,35,
Thalasseus bengalensis,Thalasseus bengalensis,21,26,30,35,B
,Thalasseus albididorsalis,30,31,28,35,B
Thalasseus maximus,Thalasseus maximus,28,35,28,35,B
Thalasseus bergii,Thalasseus bergii,25,30,38,40,
Thalasseus bernsteini,Thalasseus bernsteini,22,28,31,35,
Creagrus furcatus,Creagrus furcatus,33,35,58,65,B
Hydrocoloeus minutus,Hydrocoloeus minutus,23,25,21,24,B
Rhodostethia rosea,Rhodostethia rosea,19,22,,21,
Rissa tridactyla,Rissa tridactyla,24,28,35,49,B
Rissa brevirostris,Rissa brevirostris,25,32,37,,
Pagophila eburnea,Pagophila eburnea,24,26,28,35,B
Xema sabini,Xema sabini,23,25,35,35,B
Saundersilarus saundersi,Saundersilarus saundersi,,,,,
Larus genei,Chroicocephalus genei,22,,30,37,
Larus philadelphia,Chroicocephalus philadelphia,22,25,,,
Larus novaehollandiae,Chroicocephalus novaehollandiae,21,27,,,
Larus bulleri,Chroicocephalus bulleri,20,24,26,,B
Larus serranus,Chroicocephalus serranus,,,,,
Larus maculipennis,Chroicocephalus maculipennis,21,28,,,
Larus ridibundus,Chroicocephalus ridibundus,22,26,35,,B
Larus brunnicephalus,Chroicocephalus brunnicephalus,,,,,
Larus cirrocephalus,Chroicocephalus cirrocephalus,,,,,
Larus hartlaubii,Chroicocephalus hartlaubii,25,,40,,
Larus modestus,Leucophaeus modestus,29,32,60,70,B
Larus scoresbii,Leucophaeus scoresbii,24,27,,,
Larus atricilla,Leucophaeus atricilla,24,28,35,42,
Larus pipixcan,Leucophaeus pipixcan,23,26,35,,
Larus fuliginosus,Leucophaeus fuliginosus,,,60,,
Larus ichthyaetus,Ichthyaetus ichthyaetus,25,26,35,35,B
Larus relictus,Ichthyaetus relictus,24,26,,,
Larus audouinii,Ichthyaetus audouinii,26,33,35,40,B
Larus melanocephalus,Ichthyaetus melanocephalus,23,26,35,40,
Larus hemprichii,Ichthyaetus hemprichii,25,,,,
Larus leucophthalmus,Ichthyaetus leucophthalmus,,,,,
Larus pacificus,Larus pacificus,23,26,,,
Larus belcheri,Larus belcheri,,,,,
Larus crassirostris,Larus crassirostris,24,27,35,40,
Larus atlanticus,Larus atlanticus,,,,,
Larus heermanni,Larus heermanni,,,45,,
Larus canus,Larus canus,23.9,27.9,25,30,B
,Larus brachyrhynchus,22,28,25,32,B
Larus delawarensis,Larus delawarensis,25,28,37,,
Larus livens,Larus livens,,,,,
Larus occidentalis,Larus occidentalis,23,28,42,,
Larus cachinnans,Larus cachinnans,26,29,42,49,
Larus dominicanus,Larus dominicanus,24,30,49,,
Larus argentatus,Larus argentatus,26,32,45,50,B
,Larus vegae,,,40,50,
,Larus mongolicus,,,,,B
Larus michahellis,Larus michahellis,26,30,42,49,B
Larus armenicus,Larus armenicus,29,29,38,38,B
Larus marinus,Larus marinus,26,28,42,56,B
Larus hyperboreus,Larus hyperboreus,26,30,48,49,B
Larus fuscus,Larus fuscus,24,28,35,35,B
Larus californicus,Larus californicus,23.6,26.69,40,,B
Larus smithsonianus,Larus smithsonianus,26,32,45,50,B
Larus glaucescens,Larus glaucescens,26,28,45,,
Larus schistisagus,Larus schistisagus,28,30,40,45,
Larus glaucoides,Larus glaucoides,24,26,42,52,
Stercorarius longicaudus,Stercorarius longicaudus,24,24,24,27,B
Stercorarius parasiticus,Stercorarius parasiticus,26,27,26,30,B
Stercorarius pomarinus,Stercorarius pomarinus,23,27,,,B
Catharacta skua,Stercorarius skua,28,32,40,50,B
Catharacta chilensis,Stercorarius chilensis,28,32,,,
Catharacta antarctica,Stercorarius antarcticus,,,,,
Catharacta maccormicki,Stercorarius maccormicki,28,31,36,45,
Cerorhinca monocerata,Cerorhinca monocerata,39,52,38,56,B
Fratercula cirrhata,Fratercula cirrhata,41,54,38,59,B
Fratercula arctica,Fratercula arctica,36,45,34,57,B
Fratercula corniculata,Fratercula corniculata,38,45,34,46,B
Ptychoramphus aleuticus,Ptychoramphus aleuticus,37,57,41,51,B
Aethia pusilla,Aethia pusilla,30,31,25,33,B
Aethia pygmaea,Aethia pygmaea,35,36,39,42,B
Aethia cristatella,Aethia cristatella,34,35,27,36,B
Aethia psittacula,Aethia psittacula,35,36,34,37,B
Brachyramphus perdix,Brachyramphus perdix,,,27,40,
Brachyramphus brevirostris,Brachyramphus brevirostris,30,,24,,
Brachyramphus marmoratus,Brachyramphus marmoratus,27,30,27,40,B
Cepphus grylle,Cepphus grylle,28,32,30,40,B
Cepphus carbo,Cepphus carbo,30,33,33,,B
Cepphus columba,Cepphus columba,26,32,29,54,B
Alca torda,Alca torda,38,43,38,43,B
Pinguinus impennis,Pinguinus impennis,39,44,1,18,B
Alle alle,Alle alle,28,31,23,33,B
Uria lomvia,Uria lomvia,31,37,15,33,B
Uria aalge,Uria aalge,26,39,20.2,23.9,B
Synthliboramphus antiquus,Synthliboramphus antiquus,29,37,,,B
Synthliboramphus wumizusume,Synthliboramphus wumizusume,31,34,1,2,B
Synthliboramphus scrippsi,Synthliboramphus scrippsi,27,44,,,B
Synthliboramphus hypoleucus,Synthliboramphus hypoleucus,,,,,
Synthliboramphus craveri,Synthliboramphus craveri,31,33,1,2,B
Rhynochetos jubatus,Rhynochetos jubatus,33,37,,,B
Eurypyga helias,Eurypyga helias,26,27,17,24,B
Phaethon aethereus,Phaethon aethereus,42,44,80,110,B
Phaethon rubricauda,Phaethon rubricauda,42,46,67,91,
Phaethon lepturus,Phaethon lepturus,40,42,70,80,B
Gavia stellata,Gavia stellata,27,27,43,43,B
Gavia arctica,Gavia arctica,28,30,60,65,B
Gavia pacifica,Gavia pacifica,,,,,
Gavia immer,Gavia immer,24,25,70,77,B
Gavia adamsii,Gavia adamsii,25,25,74,74,B
Aptenodytes patagonicus,Aptenodytes patagonicus,52,56,300,395,B
Aptenodytes forsteri,Aptenodytes forsteri,62,66,150,,M
Pygoscelis adeliae,Pygoscelis adeliae,30,43,50,56,B
Pygoscelis antarcticus,Pygoscelis antarcticus,34,40,52,60,B
Pygoscelis papua,Pygoscelis papua,31,39,62,117,B
Eudyptula minor,Eudyptula minor,33,44,50,55,B
Spheniscus mendiculus,Spheniscus mendiculus,38,42,60,,B
Spheniscus humboldti,Spheniscus humboldti,40,,80,,B
Spheniscus magellanicus,Spheniscus magellanicus,38,42,80,,B
Spheniscus demersus,Spheniscus demersus,38,,70,80,B
Megadyptes antipodes,Megadyptes antipodes,39,51,97,119,B
Eudyptes chrysolophus,Eudyptes chrysolophus,33,40,60,,B
Eudyptes schlegeli,Eudyptes schlegeli,32,37,65,,B
Eudyptes moseleyi,Eudyptes moseleyi,32,34,70,70,B
,,32,34,70,,B
Eudyptes chrysocome,Eudyptes chrysocome,32,34,70,,B
Eudyptes pachyrhynchus,Eudyptes pachyrhynchus,31,36,75,,B
Eudyptes robustus,Eudyptes robustus,31,37,75,,B
Eudyptes sclateri,Eudyptes sclateri,30,,,,B
Oceanites oceanicus,Oceanites oceanicus,38,59,60,,B
Oceanites gracilis,Oceanites gracilis,,,,,
Oceanites pincoyae,Oceanites pincoyae,,,,,
Garrodia nereis,Garrodia nereis,45,,,,B
Pelagodroma marina,Pelagodroma marina,53,53,63,63,B
Fregetta grallaria,Fregetta grallaria,,,,,
Fregetta tropica,Fregetta tropica,38,44,65,71,
Fregetta lineata,Fregetta lineata,,,,,
Fregetta maoriana,Fregetta maoriana,51,,100,,B
Nesofregetta fuliginosa,Nesofregetta fuliginosa,,,,,
Diomedea sanfordi,Diomedea sanfordi,76,86,240,,
Diomedea epomophora,Diomedea epomophora,74,85,224,253,B
Diomedea exulans,Diomedea exulans,78,80,263,303,B
Diomedea dabbenena,Diomedea dabbenena,,,273,,
Diomedea antipodensis,Diomedea antipodensis,75,85,270,,B
Diomedea amsterdamensis,Diomedea amsterdamensis,79,,235,,B
Phoebastria irrorata,Phoebastria irrorata,60,,167,,B
Phoebastria immutabilis,Phoebastria immutabilis,65,,165,,B
Phoebastria nigripes,Phoebastria nigripes,65,,140,,B
Phoebastria albatrus,Phoebastria albatrus,49,,180,,B
Phoebetria fusca,Phoebetria fusca,70,,160,,B
Phoebetria palpebrata,Phoebetria palpebrata,69,,141,170,B
Thalassarche chlororhynchos,Thalassarche chlororhynchos,66,,130,,
Thalassarche carteri,Thalassarche carteri,71,,115,,B
Thalassarche chrysostoma,Thalassarche chrysostoma,69,78,141,,
Thalassarche bulleri,Thalassarche bulleri,69,72,147,189,B
Thalassarche cauta,Thalassarche cauta,68,75,112,136,B
Thalassarche steadi,,,,,,B
Thalassarche salvini,Thalassarche salvini,68,75,122,,
Thalassarche eremita,Thalassarche eremita,66,72,,,B
Thalassarche melanophris,Thalassarche melanophris,66,80,116,,B
Thalassarche impavida,,68,72,130,,B
Hydrobates pelagicus,Hydrobates pelagicus,41,40,59,70,B
Hydrobates furcatus,Hydrobates furcatus,39,,58,,
Hydrobates hornbyi,Hydrobates hornbyi,,,,,
Hydrobates monorhis,Hydrobates monorhis,,,,,
Hydrobates matsudairae,Hydrobates matsudairae,,,,,
Hydrobates leucorhous,Hydrobates leucorhous,37,50,63,70,B
Hydrobates socorroensis,Hydrobates socorroensis,,,,,
Hydrobates cheimomnestes,Hydrobates cheimomnestes,,,,,
Hydrobates homochroa,Hydrobates homochroa,42,,84,,
Hydrobates castro,Hydrobates castro,39,51,64,73,B
Hydrobates monteiroi,Hydrobates monteiroi,30,,60,,F
Hydrobates jabejabe,Hydrobates jabejabe,,,,,
Hydrobates tethys,Hydrobates tethys,,,76,,B
Hydrobates melania,Hydrobates melania,,,,,
Hydrobates macrodactylus,Hydrobates macrodactylus,,,,,
Hydrobates markhami,Hydrobates markhami,37,70,90,110,B
Hydrobates tristrami,Hydrobates tristrami,,,,,
Hydrobates microsoma,Hydrobates microsoma,,,,,
Macronectes giganteus,Macronectes giganteus,55,66,104,132,B
Macronectes halli,Macronectes halli,57,62,106,120,B
Fulmarus glacialis,Fulmarus glacialis,47,53,46,53,B
Fulmarus glacialoides,Fulmarus glacialoides,46,,48,56,B
Thalassoica antarctica,Thalassoica antarctica,40,48,42,47,
Daption capense,Daption capense,41,50,46,57,B
Pagodroma nivea,Pagodroma nivea,41,49,41,54,
Halobaena caerulea,Halobaena caerulea,45,52,43,60,B
Pachyptila vittata,Pachyptila vittata,45,50,50,,
Pachyptila salvini,Pachyptila salvini,43,52,52,65,
Pachyptila macgillivrayi,Pachyptila macgillivrayi,,,,,
Pachyptila desolata,Pachyptila desolata,42,50,45,55,B
Pachyptila belcheri,Pachyptila belcheri,46,47,43,54,B
Pachyptila turtur,Pachyptila turtur,44,56,43,56,B
Pachyptila crassirostris,Pachyptila crassirostris,,,,,
Aphrodroma brevirostris,Aphrodroma brevirostris,49,,59,62,
Pterodroma macroptera,Pterodroma macroptera,53,55,108,128,B
Pterodroma lessonii,Pterodroma lessonii,50,61,107,118,B
Pterodroma gouldi,Pterodroma gouldi,51,58,108,128,B
Pterodroma incerta,Pterodroma incerta,55,,138,,
Pterodroma solandri,Pterodroma solandri,56,,,,
Pterodroma magentae,Pterodroma magentae,,,,,
Pterodroma ultima,Pterodroma ultima,50,,100,,
Pterodroma mollis,Pterodroma mollis,50,,90,92,
Pterodroma madeira,Pterodroma madeira,53,53,85,85,B
Pterodroma feae,Pterodroma feae,53,53,95,95,B
Pterodroma deserta,,,,,,
Pterodroma cahow,Pterodroma cahow,51,54,90,100,B
Pterodroma hasitata,Pterodroma hasitata,,,105,,
Pterodroma caribbaea,Pterodroma caribbaea,,,,,
Pterodroma externa,Pterodroma externa,,,,,B
,Pterodroma occulta,,,,,B
Pterodroma neglecta,Pterodroma neglecta,50,52,110,130,
Pterodroma heraldica,Pterodroma heraldica,,,,,
Pterodroma arminjoniana,Pterodroma arminjoniana,53,,90,100,
Pterodroma atrata,Pterodroma atrata,,,90,,
Pterodroma alba,Pterodroma alba,,,,,
Pterodroma baraui,Pterodroma baraui,,,,,
Pterodroma sandwichensis,Pterodroma sandwichensis,52,56,110,117,B
Pterodroma phaeopygia,Pterodroma phaeopygia,52,56,110,117,
Pterodroma inexpectata,Pterodroma inexpectata,50,,90,105,B
Pterodroma cervicalis,Pterodroma cervicalis,,,100,115,
Pterodroma nigripennis,Pterodroma nigripennis,,,,,
Pterodroma axillaris,Pterodroma axillaris,,,,,B
Pterodroma hypoleuca,Pterodroma hypoleuca,49,,82,,
Pterodroma leucoptera,Pterodroma leucoptera,42,49,77,84,
Pterodroma brevipes,Pterodroma brevipes,42,49,77,84,B
Pterodroma cookii,Pterodroma cookii,47,51,88,,B
Pterodroma defilippiana,Pterodroma defilippiana,,,,,
Pterodroma longirostris,Pterodroma longirostris,,,,,
Pterodroma pycrofti,Pterodroma pycrofti,45,,77,84,B
Pseudobulweria aterrima,Pseudobulweria aterrima,,,,,
Pterodroma rupinarum,Pterodroma rupinarum,,,,,
Pseudobulweria rostrata,Pseudobulweria rostrata,,,,,
Pseudobulweria becki,Pseudobulweria becki,,,,,
Pseudobulweria macgillivrayi,Pseudobulweria macgillivrayi,,,,,
Procellaria cinerea,Procellaria cinerea,52,61,110,120,
Procellaria aequinoctialis,Procellaria aequinoctialis,57,62,87,106,B
Procellaria conspicillata,Procellaria conspicillata,,,,,
Procellaria parkinsoni,Procellaria parkinsoni,56.5,,96,122,B
Procellaria westlandica,Procellaria westlandica,57,65,120,140,
Calonectris leucomelas,Calonectris leucomelas,64,,66,80,
Calonectris borealis,Calonectris borealis,52,56,91,105,
Calonectris diomedea,Calonectris diomedea,49,56,84,98,
Calonectris edwardsii,Calonectris edwardsii,,,,,
Ardenna pacifica,Ardenna pacifica,50,54,100,,
Ardenna bulleri,Ardenna bulleri,51,,90,100,B
Ardenna grisea,Ardenna grisea,53,56,86,106,B
Ardenna tenuirostris,Ardenna tenuirostris,52,55,88,108,B
Ardenna creatopus,Ardenna creatopus,14,,,,B
Ardenna carneipes,Ardenna carneipes,60,,92,,
Ardenna gravis,Ardenna gravis,53,57,105,120,
Puffinus nativitatis,Puffinus nativitatis,50,54,96,,
Puffinus puffinus,Puffinus puffinus,47,66,62,76,B
Puffinus yelkouan,Puffinus yelkouan,52,51,70,72,B
Puffinus mauretanicus,Puffinus mauretanicus,51,51,70,70,B
Puffinus bryani,Puffinus bryani,,,,,
Puffinus opisthomelas,Puffinus opisthomelas,42,59,61,73,B
Puffinus auricularis,Puffinus auricularis,,,,,
Puffinus newelli,Puffinus newelli,62,62,88,100,
Puffinus myrtae,Puffinus myrtae,,,,,
Puffinus gavia,Puffinus gavia,,,,,
Puffinus huttoni,Puffinus huttoni,50,60,80,,
Puffinus lherminieri,Puffinus lherminieri,44,60,62,100,B
Puffinus persicus,Puffinus persicus,,,,,
Puffinus bailloni,Puffinus bailloni,44,60,62,100,
Puffinus subalaris,Puffinus subalaris,44,60,62,100,
Puffinus bannermani,Puffinus bannermani,,,,,
Puffinus heinrothi,Puffinus heinrothi,,,,,
Puffinus assimilis,Puffinus assimilis,52,58,70,75,B
Puffinus elegans,Puffinus elegans,,,,,
,Puffinus baroli,44,60,62,100,
,Puffinus boydi,42,60,62,100,
Pelecanoides garnotii,Pelecanoides garnotii,50,60,60,70,
Pelecanoides magellani,Pelecanoides magellani,,,,,
Pelecanoides georgicus,Pelecanoides georgicus,44,52,43,60,B
Pelecanoides whenuahouensis,,48.1,50,46.9,,B
