Scientific name,Adult survival,Age at first reproduction,Maximum longevity
Nycticorax mauritianus,0.75,2.5,21.08
Nycticorax megacephalus,0.75,2.5,21.08
Nycticorax nycticorax,0.77,2.37,19.25
Nycticorax caledonicus,0.8,2.59,21.24
Nyctanassa violacea,0.75,2.09,11.52
Nyctanassa carcinocatactes,0.65,2,6.3
Butorides striata,0.71,1.97,12.72
Ardeola ralloides,0.73,2.02,9.87
Ardeola grayii,0.8,1.91,10.86
Ardeola bacchus,0.75,1.87,10.14
Ardeola speciosa,0.73,1.97,9.21
Ardeola idae,0.77,2.24,11.2
Ardeola rufiventris,0.77,2.12,10.15
Bubulcus ibis,0.74,1.95,16.28
Ardea cinerea,0.74,1.81,23.51
Ardea herodias,0.8,2.18,29.33
Ardea cocoi,0.79,2.08,23.81
Ardea pacifica,0.85,1.85,24.52
Ardea melanocephala,0.77,1.91,21.69
Ardea humbloti,0.84,2.25,26.52
Ardea insignis,0.77,1.9,23.62
Ardea sumatrana,0.87,2.53,27.71
Ardea goliath,0.86,2.74,30.09
Ardea purpurea,0.74,1.77,21.57
Ardea alba,0.76,1.76,22.3
Ardea brachyrhyncha,0.74,1.87,26.26
Ardea intermedia,0.73,1.62,19.89
Ardea plumifera,0.74,1.87,26.26
Syrigma sibilatrix,0.77,2.08,14.93
Pilherodius pileatus,0.79,2.37,16.25
Egretta picata,0.6,1.5,18.54
Egretta novaehollandiae,0.68,1.56,22.64
Egretta rufescens,0.63,1.71,22.13
Egretta ardesiaca,0.64,1.56,18.84
Egretta vinaceigula,0.6,1.45,17.98
Egretta tricolor,0.6,1.55,19.73
Egretta caerulea,0.6,1.33,16.31
Egretta thula,0.65,1.44,18.93
Egretta garzetta,0.55,1.24,14.9
Egretta gularis,0.64,1.36,16.33
Egretta sacra,0.65,1.47,19.83
Egretta eulophotes,0.66,1.53,20.68
Scopus umbretta,0.73,2.04,14.28
Balaeniceps rex,0.89,3.28,29.95
Pelecanus crispus,0.89,3.16,45.85
Pelecanus philippensis,0.84,2.48,33.24
Pelecanus rufescens,0.89,2.83,34.17
Pelecanus conspicillatus,0.89,2.95,38.75
Pelecanus onocrotalus,0.89,3.15,42.05
Pelecanus occidentalis,0.85,2.49,32.47
Pelecanus thagus,0.85,2.49,32.62
Pelecanus erythrorhynchos,0.88,2.85,41.46
Fregata ariel,0.88,4.77,22.75
Fregata minor,0.9,5.23,24.77
Fregata andrewsi,0.89,5.38,26.36
Fregata magnificens,0.9,5.39,26.79
Fregata aquila,0.9,5.48,26.64
Papasula abbotti,0.91,3.45,24.96
Morus bassanus,0.91,4.09,33.87
Morus capensis,0.92,3.99,30.56
Morus serrator,0.92,3.9,31.15
Sula sula,0.9,2.93,22.47
Sula leucogaster,0.88,3.16,22.41
Sula nebouxii,0.88,3.14,23.15
Sula variegata,0.87,2.99,23.29
Sula dactylatra,0.89,3.35,23.78
Sula granti,0.89,3.35,24.28
Microcarbo coronatus,0.85,2.86,16.27
Microcarbo africanus,0.81,2.48,13.17
Microcarbo pygmaeus,0.75,2.31,14.68
Microcarbo niger,0.74,2.08,11.83
Microcarbo melanoleucos,0.87,2.54,15.74
Poikilocarbo gaimardi,0.85,2.97,22.62
Leucocarbo magellanicus,0.85,2.98,21.71
Leucocarbo bougainvilliorum,0.89,3.43,21.92
Leucocarbo atriceps,0.89,3.07,24.07
Leucocarbo verrucosus,0.86,3,10.92
Leucocarbo carunculatus,0.92,3.35,14.96
Leucocarbo chalconotus,0.88,3.36,23.58
Leucocarbo onslowi,0.87,3.19,22.45
Leucocarbo campbelli,0.88,2.94,22.15
Leucocarbo ranfurlyi,0.91,3.2,24.64
Leucocarbo colensoi,0.89,2.95,23.25
Nannopterum auritus,0.83,1.61,18.96
Nannopterum brasilianus,0.83,1.49,15.42
Nannopterum harrisi,0.89,1.92,18.54
Urile penicillatus,0.81,2.88,20.69
Urile pelagicus,0.8,2.78,21.29
Urile urile,0.82,2.37,20.25
Phalacrocorax perspicillatus,0.81,2.5,20.6
Gulosus aristotelis,0.85,2.67,27.78
Phalacrocorax carbo,0.8,2.69,19.93
Phalacrocorax capillatus,0.78,2.54,21.38
Phalacrocorax capensis,0.82,2.52,19.51
Phalacrocorax nigrogularis,0.8,2.61,19.73
Phalacrocorax neglectus,0.87,2.73,20.4
Phalacrocorax fuscicollis,0.73,1.94,15.21
Phalacrocorax sulcirostris,0.78,2.24,17.26
Phalacrocorax fuscescens,0.83,2.63,20.95
Phalacrocorax varius,0.82,2.66,20.52
Phalacrocorax punctatus,0.84,2.25,20.17
Phalacrocorax featherstoni,0.83,2.19,19.78
Anhinga anhinga,0.79,2.34,15.35
Anhinga rufa,0.84,2.66,17.37
Anhinga melanogaster,0.84,2.66,18.21
Anhinga novaehollandiae,0.84,2.66,18.75
Burhinus oedicnemus,0.83,2.77,21.72
Burhinus indicus,0.83,1.99,23.96
Burhinus senegalensis,0.8,2.78,17.84
Burhinus vermiculatus,0.86,2.88,18.23
Burhinus capensis,0.87,3.05,18.86
Burhinus bistriatus,0.86,3.45,22.1
Burhinus superciliaris,0.84,2.75,19.25
Burhinus grallarius,0.86,3.14,20.47
Esacus recurvirostris,0.89,2.96,17.94
Esacus magnirostris,0.91,3.23,18.33
Chionis albus,0.8,3.76,24.9
Chionis minor,0.81,3.53,22.22
Pluvianellus socialis,0.78,1.83,14.38
Pluvianus aegyptius,0.79,1.75,11.84
Haematopus leucopodus,0.91,4.19,31.15
Haematopus ater,0.91,4,25.43
Haematopus palliatus,0.9,3.86,24.41
Haematopus meadewaldoi,0.91,3.98,31.9
Haematopus moquini,0.93,4.28,29.5
Haematopus ostralegus,0.88,3.48,27.39
Haematopus longirostris,0.92,4.18,28.49
Haematopus chathamensis,0.91,3.85,28.67
Haematopus unicolor,0.89,3.59,26.27
Haematopus fuliginosus,0.92,4.26,29.53
Ibidorhyncha struthersii,0.73,1.83,14.07
Cladorhynchus leucocephalus,0.8,1.96,13.15
Recurvirostra avosetta,0.78,1.54,18.44
Recurvirostra americana,0.76,1.48,19.08
Recurvirostra novaehollandiae,0.81,1.62,19.62
Recurvirostra andina,0.72,1.4,16.44
Himantopus himantopus,0.77,1.9,12.15
Himantopus novaezelandiae,0.81,2.02,14.24
Pluvialis squatarola,0.8,1.36,18.61
Pluvialis apricaria,0.77,1.27,17.28
Pluvialis fulva,0.75,1.16,16.04
Pluvialis dominica,0.76,1.18,16.25
Oreopholus ruficollis,0.69,1.56,11.86
Phegornis mitchellii,0.6,1.18,9.21
Eudromias morinellus,0.71,1.88,12.89
Charadrius aquilonius,0.73,1.17,15.91
Charadrius obscurus,0.82,1.36,18.36
Charadrius hiaticula,0.74,1.12,16.66
Charadrius semipalmatus,0.72,1.05,15.35
Charadrius placidus,0.72,1.07,14.51
Charadrius dubius,0.71,1.01,13.78
Charadrius wilsonia,0.75,1.13,13.47
Charadrius vociferus,0.74,1.16,15.95
Charadrius melodus,0.71,1.04,14.38
Charadrius thoracicus,0.72,0.89,10.75
Charadrius pecuarius,0.78,1.11,12.42
Charadrius sanctaehelenae,0.78,1.18,13.6
Charadrius tricollaris,0.78,1.09,12.63
Charadrius bifrontatus,0.73,1.17,15.91
Charadrius forbesi,0.71,1.04,11.57
Charadrius marginatus,0.8,1.19,13.41
Charadrius alexandrinus,0.75,1.11,14.52
Charadrius dealbatus,0.73,1.17,15.91
Charadrius nivosus,0.65,1.17,15.08
Charadrius javanicus,0.84,1.19,14.06
Charadrius ruficapillus,0.8,1.17,14.19
Charadrius peronii,0.77,1.11,12.58
Charadrius pallidus,0.78,1.11,13.45
Charadrius collaris,0.77,1.07,12.31
Charadrius alticola,0.69,0.98,12.11
Charadrius falklandicus,0.76,1.16,15.64
Charadrius bicinctus,0.75,1.14,15.16
Charadrius mongolus,0.77,1.21,15.78
Charadrius leschenaultii,0.76,1.2,15.99
Charadrius asiaticus,0.77,1.2,16.13
Charadrius veredus,0.77,1.24,16.88
Charadrius montanus,0.73,1.15,15.05
Charadrius modestus,0.8,1.3,17.45
Thinornis cucullatus,0.86,1.74,14.02
Thinornis novaeseelandiae,0.83,1.52,12.9
Elseyornis melanops,0.69,1.34,9.63
Hoploxypterus cayanus,0.75,1.64,10.83
Vanellus vanellus,0.75,1.7,18.55
Vanellus crassirostris,0.74,1.59,14.26
Vanellus armatus,0.78,1.72,16.14
Vanellus spinosus,0.77,1.78,16.25
Vanellus duvaucelii,0.7,1.42,13.8
Vanellus tectus,0.69,1.38,12.71
Vanellus malabaricus,0.71,1.66,18.36
Vanellus albiceps,0.79,1.79,15.79
Vanellus lugubris,0.7,1.49,13.32
Vanellus melanopterus,0.77,1.77,15.58
Vanellus coronatus,0.76,1.64,14.9
Vanellus senegallus,0.76,1.71,14.9
Vanellus melanocephalus,0.72,1.54,14.25
Vanellus superciliosus,0.71,1.55,13.81
Vanellus cinereus,0.71,1.61,17.04
Vanellus indicus,0.73,1.55,14.93
Vanellus macropterus,0.71,1.66,18.36
Vanellus tricolor,0.72,1.47,16.2
Vanellus miles,0.77,1.8,16.95
Vanellus novaehollandiae,0.71,1.66,18.36
Vanellus gregarius,0.72,1.62,17.22
Vanellus leucurus,0.72,1.54,15.94
Vanellus chilensis,0.72,1.68,15.88
Vanellus resplendens,0.69,1.54,14.64
Erythrogonys cinctus,0.7,1.4,10.23
Peltohyas australis,0.72,1.54,11.4
Anarhynchus frontalis,0.8,2.53,12.99
Pedionomus torquatus,0.68,1.09,11.15
Attagis gayi,0.73,1.72,16.08
Attagis malouinus,0.75,1.85,16.56
Thinocorus orbignyianus,0.64,1.41,13.43
Thinocorus rumicivorus,0.59,1.21,11.85
Rostratula benghalensis,0.77,1.18,11.99
Rostratula australis,0.77,1.06,13.36
Nycticryphes semicollaris,0.78,1.8,13.14
Jacana spinosa,0.7,1.44,10.18
Jacana jacana,0.67,1.5,9.25
Hydrophasianus chirurgus,0.7,1.16,11.96
Actophilornis africanus,0.78,1.84,12.62
Actophilornis albinucha,0.74,1.76,12.58
Metopidius indicus,0.69,1.5,13.69
Irediparra gallinacea,0.73,1.6,11.03
Microparra capensis,0.74,1.47,10.17
Bartramia longicauda,0.7,1.62,11.21
Numenius tahitiensis,0.8,2.16,20.54
Numenius phaeopus,0.8,2.25,18.96
Numenius minutus,0.7,1.7,14.72
Numenius borealis,0.76,1.99,22.02
Numenius tenuirostris,0.78,2.09,17.41
Numenius americanus,0.81,2.37,18.76
Numenius arquata,0.84,2.57,23.47
Numenius madagascariensis,0.82,2.52,20.87
Limosa lapponica,0.84,2.29,21.96
Limosa fedoa,0.84,2.29,20.66
Limosa haemastica,0.82,2.14,20.36
Limosa limosa,0.83,2.2,20.26
Arenaria interpres,0.82,1.96,15.45
Arenaria melanocephala,0.78,1.79,13.92
Calidris tenuirostris,0.79,2.04,20.46
Calidris canutus,0.77,1.96,18.36
Calidris virgata,0.77,2.02,18.31
Calidris pugnax,0.76,1.82,18.49
Calidris falcinellus,0.68,1.45,13.44
Calidris acuminata,0.71,1.62,15.17
Calidris himantopus,0.65,1.44,13.22
Calidris ferruginea,0.7,1.62,15.17
Calidris temminckii,0.65,1.32,12.3
Calidris subminuta,0.69,1.45,12.84
Calidris pygmaea,0.67,1.4,12.8
Calidris ruficollis,0.68,1.41,12.98
Calidris alba,0.72,1.61,15.13
Calidris alpina,0.7,1.55,14.34
Calidris ptilocnemis,0.72,1.69,15.25
Calidris maritima,0.71,1.62,14.98
Calidris bairdii,0.68,1.48,13.85
Calidris minuta,0.64,1.3,12.19
Calidris minutilla,0.65,1.32,11.96
Calidris fuscicollis,0.69,1.49,13.93
Calidris subruficollis,0.67,1.52,13.99
Calidris melanotos,0.72,1.68,15.68
Calidris pusilla,0.66,1.37,12.54
Calidris mauri,0.66,1.37,12.54
Prosobonia leucoptera,0.79,2.49,20.2
Prosobonia ellisi,0.79,2.49,20.2
Prosobonia cancellata,0.76,1.55,20.2
Prosobonia parvirostris,0.79,2.49,20.2
Limnodromus semipalmatus,0.82,1.72,16.85
Limnodromus griseus,0.73,1.3,13.52
Limnodromus scolopaceus,0.73,1.28,14.03
Scolopax rusticola,0.59,1.13,16.96
Scolopax mira,0.68,1.31,17.28
Scolopax saturata,0.68,1.22,14.19
Scolopax rosenbergii,0.68,1.22,14.41
Scolopax bukidnonensis,0.68,1.25,15.34
Scolopax celebensis,0.65,1.09,14.27
Scolopax rochussenii,0.65,1.09,14.24
Scolopax minor,0.56,1.03,14.74
Coenocorypha pusilla,0.76,1.66,12.59
Coenocorypha iredalei,0.79,2.49,20.2
Coenocorypha huegeli,0.79,2.49,20.2
Coenocorypha aucklandica,0.77,1.76,13.68
Coenocorypha barrierensis,0.79,2.49,20.2
Gallinago imperialis,0.74,1.17,12.63
Gallinago jamesoni,0.76,1.39,12.89
Gallinago stricklandii,0.76,1.51,16.47
Gallinago solitaria,0.65,1.15,13.23
Gallinago hardwickii,0.66,1.17,13.02
Gallinago nemoricola,0.68,1.17,13.4
Gallinago stenura,0.66,1.14,13.73
Gallinago megala,0.66,1.16,13.47
Gallinago nigripennis,0.75,1.35,13.31
Gallinago macrodactyla,0.71,1.26,15.91
Gallinago media,0.66,1.19,14.27
Gallinago gallinago,0.66,1.14,13.58
Gallinago delicata,0.58,1.25,10.82
Gallinago paraguaiae,0.68,1.18,11.75
Gallinago andina,0.68,1.18,11.83
Gallinago nobilis,0.77,1.43,13.12
Gallinago undulata,0.76,1.45,14.12
Lymnocryptes minimus,0.68,1.11,12.28
Steganopus tricolor,0.69,1.12,11.11
Phalaropus lobatus,0.68,1.02,9.65
Phalaropus fulicarius,0.71,1.1,10.62
Xenus cinereus,0.71,1.55,14.64
Actitis hypoleucos,0.65,1.67,13.6
Actitis macularius,0.63,1.65,11.87
Tringa ochropus,0.71,1.14,11.61
Tringa solitaria,0.68,1.05,10.77
Tringa brevipes,0.78,1.39,14.56
Tringa incana,0.78,1.35,14.2
Tringa semipalmata,0.81,1.59,15.36
Tringa flavipes,0.76,1.27,13.16
Tringa erythropus,0.79,1.46,15.54
Tringa nebularia,0.8,1.5,15.57
Tringa melanoleuca,0.8,1.46,14.85
Tringa totanus,0.79,1.4,13.82
Tringa glareola,0.72,1.15,11.71
Tringa stagnatilis,0.76,1.27,12.78
Tringa guttifer,0.79,1.46,14.72
Turnix sylvaticus,0.63,1.01,8.23
Turnix maculosus,0.63,0.99,10.25
Turnix tanki,0.58,0.97,10.86
Turnix nanus,0.69,1.03,8.9
Turnix hottentottus,0.62,1.04,11.61
Turnix ocellatus,0.69,1.19,11.06
Turnix suscitator,0.58,0.92,10.01
Turnix nigricollis,0.67,1.06,10.1
Turnix melanogaster,0.7,1.2,10.44
Turnix novaecaledoniae,0.69,1.03,8.9
Turnix varius,0.68,1.19,11.66
Turnix olivii,0.7,1.12,10.32
Turnix castanotus,0.69,1.12,10.51
Turnix pyrrhothorax,0.69,1.08,10.25
Turnix everetti,0.68,1.02,9.06
Turnix worcesteri,0.69,1.09,9.75
Turnix velox,0.62,0.98,10.7
Ortyxelos meiffrenii,0.65,1.2,9.08
Dromas ardeola,0.86,2.58,17.67
Smutsornis africanus,0.79,1.82,12.15
Rhinoptilus cinctus,0.77,1.75,11.45
Rhinoptilus chalcopterus,0.75,1.8,11.84
Rhinoptilus bitorquatus,0.78,1.8,12.19
Cursorius cursor,0.76,1.17,13.28
Cursorius somalensis,0.77,1.09,11.41
Cursorius rufus,0.75,1.03,11.61
Cursorius temminckii,0.75,1.02,10.51
Cursorius coromandelicus,0.75,1.04,11.63
Stiltia isabella,0.74,1.65,11.49
Glareola pratincola,0.75,1.17,12.63
Glareola maldivarum,0.76,1.19,12.92
Glareola nordmanni,0.69,1.05,12.34
Glareola ocularis,0.79,1.28,12.93
Glareola nuchalis,0.77,1.19,11.28
Glareola cinerea,0.78,1.12,10.54
Glareola lactea,0.73,1.05,10.85
Anous stolidus,0.83,2.33,21.6
Anous tenuirostris,0.81,2.13,19.75
Anous minutus,0.81,2.13,19.68
Anous ceruleus,0.78,1.84,16.83
Anous albivittus,0.78,1.75,17.47
Gygis alba,0.81,3.35,21.32
Gygis microrhyncha,0.81,3.35,21.33
Rynchops niger,0.74,2.74,17.29
Rynchops flavirostris,0.74,2.63,15.81
Rynchops albicollis,0.68,2.42,15.98
Saundersilarus saundersi,0.79,2.01,15.28
Hydrocoloeus minutus,0.78,1.6,17.39
Rhodostethia rosea,0.79,1.99,17.31
Creagrus furcatus,0.92,4.27,20.49
Xema sabini,0.83,2.38,13.79
Pagophila eburnea,0.85,2.58,24.15
Rissa brevirostris,0.81,3.79,24.34
Rissa tridactyla,0.84,3.6,25.7
Larus philadelphia,0.82,2.57,19.96
Larus genei,0.85,2.83,20.29
Larus brunnicephalus,0.83,3.36,21.82
Larus ridibundus,0.85,3.01,20.09
Larus serranus,0.8,3.08,18.5
Larus maculipennis,0.85,3,19.14
Larus hartlaubii,0.85,3.18,19.73
Larus cirrocephalus,0.83,3.22,19.14
Larus novaehollandiae,0.86,2.92,19.9
Larus bulleri,0.85,2.83,20.1
Larus modestus,0.86,3.12,18.45
Larus scoresbii,0.84,3.43,23.33
Larus pipixcan,0.83,2.72,20.55
Larus atricilla,0.82,3.09,19.17
Larus fuliginosus,0.86,3.35,18.59
Larus ichthyaetus,0.88,4.32,28.62
Larus relictus,0.84,3.39,22.69
Larus melanocephalus,0.81,2.98,19.87
Larus hemprichii,0.85,3.47,20.56
Larus leucophthalmus,0.84,3.13,18.73
Larus audouinii,0.83,3.32,21.68
Larus heermanni,0.86,3.68,22.3
Larus pacificus,0.87,3.95,25.43
Larus crassirostris,0.84,3.48,22.71
Larus belcheri,0.85,3.44,20.76
Larus atlanticus,0.88,3.58,22.91
Larus delawarensis,0.83,3.3,22.57
Larus canus,0.85,2.94,22.87
Larus livens,0.88,4.12,25.62
Larus occidentalis,0.85,3.69,23.92
Larus californicus,0.87,3.25,24.45
Larus dominicanus,0.86,3.72,24.23
Larus fuscus,0.85,3.7,26.59
Larus argentatus,0.86,3.97,28.06
Larus armenicus,0.85,3.65,23.89
Larus michahellis,0.87,3.97,26.36
Larus cachinnans,0.87,3.98,26.52
Larus smithsonianus,0.86,4,32.08
Larus glaucoides,0.86,3.75,27.6
Larus schistisagus,0.86,3.97,27.46
Larus glaucescens,0.86,3.94,27.45
Larus hyperboreus,0.88,4.24,31.25
Larus marinus,0.89,3.86,29.82
Onychoprion aleuticus,0.77,3.3,27.25
Onychoprion fuscatus,0.81,3.74,24.67
Onychoprion anaethetus,0.8,3.56,23.28
Onychoprion lunatus,0.83,3.7,24.19
Sternula albifrons,0.83,2.32,20.33
Sternula saundersi,0.86,2.12,17.84
Sternula antillarum,0.86,2.15,19.4
Sternula superciliaris,0.8,2.03,15.69
Sternula lorata,0.86,2.48,19.33
Sternula nereis,0.87,2.62,21.62
Sternula balaenarum,0.86,2.63,21.09
Phaetusa simplex,0.8,2.27,15.75
Gelochelidon nilotica,0.79,3.81,18.07
Gelochelidon macrotarsa,0.77,5,20
Hydroprogne caspia,0.86,2.97,23.44
Larosterna inca,0.79,2.33,19.89
Chlidonias albostriatus,0.63,2.16,18.29
Chlidonias hybrida,0.6,2.02,15.5
Chlidonias leucopterus,0.62,1.76,15.27
Chlidonias niger,0.58,1.93,16.99
Sterna aurantia,0.87,2.32,22.43
Sterna dougallii,0.85,2.59,20.63
Sterna striata,0.85,2.66,24.47
Sterna sumatrana,0.83,2.46,19.83
Sterna hirundinacea,0.84,2.65,24.81
Sterna hirundo,0.84,2.56,24.8
Sterna repressa,0.81,2.29,19.86
Sterna paradisaea,0.82,2.39,24.87
Sterna vittata,0.86,2.7,26.06
Sterna virgata,0.89,2.47,25.53
Sterna forsteri,0.83,2.53,24.34
Sterna trudeaui,0.82,2.45,22.76
Sterna acuticauda,0.81,2.27,20
Thalasseus bengalensis,0.9,2.35,19.37
Thalasseus bernsteini,0.87,2.58,21.69
Thalasseus elegans,0.89,2.63,22.35
Thalasseus sandvicensis,0.87,2.4,18.52
Thalasseus maximus,0.9,2.88,22.76
Thalasseus bergii,0.88,2.55,20.09
Stercorarius longicaudus,0.84,3.15,21.28
Stercorarius parasiticus,0.86,3.43,23.02
Stercorarius pomarinus,0.87,3.74,25.27
Catharacta skua,0.91,5.26,29.09
Catharacta maccormicki,0.91,5.27,29.56
Catharacta antarctica,0.92,5.48,28.53
Catharacta chilensis,0.92,5.28,27.4
Cerorhinca monocerata,0.85,2.98,16.21
Fratercula cirrhata,0.89,4.37,18.54
Fratercula arctica,0.89,4.15,18.46
Fratercula corniculata,0.9,4.07,17.45
Ptychoramphus aleuticus,0.83,2.78,16.91
Aethia psittacula,0.89,3.31,16.66
Aethia pusilla,0.85,2.63,13.34
Aethia pygmaea,0.86,2.78,13.87
Aethia cristatella,0.89,3.28,16.53
Brachyramphus perdix,0.88,2.44,12.35
Brachyramphus marmoratus,0.88,2.44,12.34
Brachyramphus brevirostris,0.86,2.6,13.82
Cepphus grylle,0.84,3.1,21.75
Cepphus columba,0.84,3.19,21.57
Cepphus carbo,0.85,3.26,21.24
Synthliboramphus antiquus,0.81,2.41,9.83
Synthliboramphus wumizusume,0.81,2.36,9.1
Synthliboramphus scrippsi,0.77,2,18.92
Synthliboramphus hypoleucus,0.77,2.4,9.29
Synthliboramphus craveri,0.76,2.36,8.99
Alca torda,0.89,4.06,31.55
Pinguinus impennis,0.79,2.49,20.2
Alle alle,0.87,3.97,17.94
Uria lomvia,0.9,4.07,31.14
Uria aalge,0.9,4.09,30.18
Phodilus badius,0.72,1.91,13.67
Phodilus assimilis,0.74,1.36,18.23
Phodilus prigoginei,0.77,1.89,13.44
Tyto capensis,0.56,1.04,17.04
Tyto longimembris,0.53,0.99,16.57
Tyto tenebricosa,0.74,1.53,23.17
Tyto multipunctata,0.49,1,23.14
Tyto novaehollandiae,0.68,1.35,22.19
Tyto aurantia,0.65,1.15,19.94
Tyto almae,0.49,1,23.14
Tyto nigrobrunnea,0.66,1.15,19.75
Tyto inexspectata,0.66,1.15,19.68
Tyto rosenbergii,0.66,1.15,19.77
Tyto soumagnei,0.6,1.02,18.32
Tyto alba,0.61,1.15,17.71
Tyto glaucops,0.58,1.12,18.74
Ninox rufa,0.85,2.94,21.63
Ninox strenua,0.85,3.04,24.89
Ninox connivens,0.82,2.57,20.51
Ninox rudolfi,0.81,1.91,14.8
Ninox boobook,0.78,1.84,14.79
Ninox leucopsis,0.62,1.36,17.25
Ninox novaeseelandiae,0.77,1.8,15.48
Ninox japonica,0.62,1.36,17.25
Ninox scutulata,0.75,1.75,13.74
Ninox randi,0.62,1.36,17.25
Ninox obscura,0.62,1.36,17.25
Ninox affinis,0.8,1.91,14.89
Ninox philippensis,0.75,1.54,13.33
Ninox spilocephala,0.62,1.36,17.25
Ninox leventisi,0.62,1.36,17.25
Ninox reyi,0.62,1.36,17.25
Ninox rumseyi,0.62,1.36,17.25
Ninox spilonotus,0.62,1.36,17.25
Ninox mindorensis,0.62,1.36,17.25
Ninox sumbaensis,0.74,1.47,11.45
Ninox burhani,0.76,1.5,11.39
Ninox ochracea,0.81,1.91,14.5
Ninox ios,0.75,1.46,11.1
Ninox hypogramma,0.62,1.36,17.25
Ninox hantu,0.62,1.36,17.25
Ninox squamipila,0.8,2,14.47
Ninox forbesi,0.62,1.36,17.25
Ninox natalis,0.8,1.95,14.5
Ninox meeki,0.79,1.73,13.17
Ninox theomacha,0.78,1.81,13.16
Ninox punctulata,0.78,1.63,12.39
Ninox odiosa,0.79,1.69,14.3
Ninox variegata,0.81,1.91,14.57
Ninox jacquinoti,0.79,1.72,13.23
Ninox granti,0.62,1.36,17.25
Ninox malaitae,0.62,1.36,17.25
Ninox roseoaxillaris,0.62,1.36,17.25
Uroglaux dimorpha,0.8,1.79,14
Sceloglaux albifacies,0.62,1.36,18.23
Mascarenotus grucheti,0.62,1.36,18.23
Mascarenotus murivorus,0.62,1.36,18.23
Mascarenotus sauzieri,0.62,1.36,18.23
Surnia ulula,0.56,1.11,14.65
Glaucidium passerinum,0.55,0.94,8.6
Glaucidium brodiei,0.57,1.02,8.03
Glaucidium perlatum,0.72,1.15,7.87
Glaucidium tephronotum,0.73,1.17,8.03
Glaucidium sjostedti,0.78,1.39,9.2
Glaucidium cuculoides,0.71,1.27,9.68
Glaucidium castanopterum,0.68,1.05,7.57
Glaucidium radiatum,0.73,1.2,8.85
Glaucidium castanotum,0.75,1.07,7.75
Glaucidium capense,0.76,1.3,9.19
Glaucidium castaneum,0.76,1.04,8.2
Glaucidium albertinum,0.74,1.01,7.2
Glaucidium gnoma,0.62,0.97,7.51
Glaucidium californicum,0.63,1.09,8.79
Glaucidium cobanense,0.62,1,6
Glaucidium hoskinsii,0.62,1,6
Glaucidium costaricanum,0.71,1.11,7.82
Glaucidium nubicola,0.74,0.99,7.84
Glaucidium jardinii,0.74,0.96,7.59
Glaucidium bolivianum,0.69,0.95,7.79
Glaucidium palmarum,0.65,1.08,8.2
Glaucidium sanchezi,0.71,1.05,8.68
Glaucidium griseiceps,0.65,1.11,8.14
Glaucidium parkeri,0.71,1.07,7.83
Glaucidium hardyi,0.72,0.96,6.97
Glaucidium minutissimum,0.7,0.93,7.03
Glaucidium mooreorum,0.71,0.94,6.84
Glaucidium brasilianum,0.7,1.09,7.74
Glaucidium tucumanum,0.62,1,6
Glaucidium peruanum,0.68,0.91,7.67
Glaucidium nana,0.61,1.1,9.33
Glaucidium siju,0.69,1.08,8.05
Xenoglaux loweryi,0.71,1.31,9.34
Micrathene whitneyi,0.65,1.09,7.43
Athene cunicularia,0.44,0.92,9.4
Athene brama,0.71,1.21,11.55
Athene noctua,0.7,1.22,12.72
Athene superciliaris,0.71,1.34,12.81
Heteroglaux blewitti,0.76,1.97,14.65
Aegolius funereus,0.65,1.38,13.68
Aegolius gradyi,0.67,1.25,12.65
Aegolius acadicus,0.56,1.16,11.44
Aegolius ridgwayi,0.6,1.15,9.97
Aegolius harrisii,0.77,1.41,12.87
Otus sagittatus,0.58,1.11,8.33
Otus rufescens,0.58,0.97,8.84
Otus thilohoffmanni,0.6,1.04,9.61
Otus icterorhynchus,0.58,0.96,8.79
Otus ireneae,0.55,0.89,8.24
Otus gurneyi,0.65,1.22,11.3
Otus semitorques,0.47,1.01,10.7
Otus lettia,0.51,1.04,10.52
Otus lempiji,0.55,1.04,9.93
Otus bakkamoena,0.54,1.1,8.82
Otus megalotis,0.65,1.29,9.68
Otus nigrorum,0.5,1,10.93
Otus everetti,0.5,1,14.5
Otus fuliginosus,0.6,1.06,9.9
Otus mentawi,0.61,1.06,9.7
Otus silvicola,0.6,1.06,9.87
Otus enganensis,0.6,1.03,9.5
Otus umbra,0.59,1.01,9.26
Otus alius,0.6,1.03,10.58
Otus balli,0.6,1.2,8.89
Otus alfredi,0.6,1.06,9.87
Otus spilocephalus,0.56,1.06,8.16
Otus angelinae,0.62,1.15,8.29
Otus brookii,0.65,1.24,8.78
Otus pamelae,0.5,1,10.93
Otus pembaensis,0.61,1.06,9.79
Otus senegalensis,0.57,1.02,7.37
Otus feae,0.5,1,10.93
Otus hartlaubi,0.58,0.97,8.88
Otus scops,0.51,1.01,8.83
Otus brucei,0.46,0.92,7.93
Otus longicornis,0.6,1.11,8.37
Otus mirus,0.56,0.92,8.64
Otus mindorensis,0.6,1.06,9.99
Otus rutilus,0.53,0.99,7.9
Otus mayottensis,0.58,1.02,9.61
Otus capnodes,0.59,1.05,9.9
Otus pauliani,0.56,0.95,8.93
Otus moheliensis,0.59,1.03,9.67
Otus socotranus,0.5,1,10.93
Otus insularis,0.6,1.03,10.52
Otus sunia,0.48,0.94,7.88
Otus elegans,0.58,1.11,8.89
Otus siaoensis,0.63,1.12,10.28
Otus manadensis,0.59,0.99,9.12
Otus mendeni,0.5,1,10.93
