Scientific name,Adult survival,Age at first reproduction,Maximum longevity
Agelastes niger,0.84,2.19,15.33
Acryllium vulturinum,0.39,1.06,11.5
Guttera plumifera,0.61,1.45,12.44
Guttera verreauxi,0.47,1.36,13.22
Guttera pucherani,0.81,2.26,17.2
Guttera edouardi,0.47,1.36,13.22
Ptilopachus petrosus,0.66,1.45,13.09
Ptilopachus nahani,0.73,1.72,14.62
Philortyx fasciatus,0.61,1.29,12.18
Oreortyx pictus,0.44,1.02,12
Colinus virginianus,0.54,1.04,9.25
Colinus nigrogularis,0.61,1.03,8.93
Colinus leucopogon,0.62,1.03,8.79
Colinus cristatus,0.34,0.72,6.41
Callipepla squamata,0.35,1.03,8.96
Callipepla douglasii,0.53,1.36,9.57
Callipepla gambelii,0.34,1.01,8.89
Callipepla californica,0.4,0.86,8.23
Dendrortyx barbatus,0.8,2.01,16.08
Dendrortyx macroura,0.74,1.83,16.63
Dendrortyx leucophrys,0.72,1.71,15.47
Odontophorus gujanensis,0.77,1.82,13.85
Odontophorus capueira,0.7,1.84,15.67
Odontophorus melanotis,0.77,1.84,14.46
Odontophorus erythrops,0.81,1.85,14.45
Odontophorus atrifrons,0.8,1.81,14.44
Odontophorus hyperythrus,0.81,1.85,14.51
Odontophorus melanonotus,0.81,1.83,14.22
Odontophorus speciosus,0.8,1.83,14.59
Odontophorus dialeucos,0.79,1.76,13.93
Odontophorus strophium,0.8,1.81,14.26
Odontophorus columbianus,0.7,1.58,12.94
Odontophorus leucolaemus,0.69,1.58,14.17
Odontophorus balliviani,0.8,1.83,14.7
Odontophorus stellatus,0.8,1.85,14.62
Odontophorus guttatus,0.72,1.66,15.03
Rhynchortyx cinctus,0.77,1.63,11.7
Dactylortyx thoracicus,0.66,1.46,13.68
Cyrtonyx montezumae,0.44,0.99,9.34
Cyrtonyx sallei,0.47,1,13.22
Cyrtonyx ocellatus,0.77,1.13,13.48
Xenoperdix udzungwensis,0.79,1.76,12.57
Rollulus rouloul,0.69,1.51,11.76
Arborophila torqueola,0.73,1.76,13.11
Arborophila rufogularis,0.75,1.78,11.75
Arborophila atrogularis,0.73,1.66,10.99
Arborophila crudigularis,0.59,1.31,10.43
Arborophila mandellii,0.76,1.76,11.69
Arborophila brunneopectus,0.79,1.8,12.31
Arborophila rufipectus,0.72,1.73,10.7
Arborophila gingica,0.68,1.49,10.32
Arborophila davidi,0.79,1.74,11.65
Arborophila cambodiana,0.79,1.79,12.05
Arborophila campbelli,0.81,1.85,12.18
Arborophila rolli,0.81,1.85,12.14
Arborophila sumatrana,0.81,1.85,12.1
Arborophila orientalis,0.8,1.99,11.95
Arborophila javanica,0.76,1.77,10.85
Arborophila rubrirostris,0.79,1.71,11.18
Arborophila hyperythra,0.8,1.77,11.6
Arborophila ardens,0.8,1.98,12.22
Arborophila chloropus,0.79,1.88,11.64
Arborophila tonkinensis,0.47,1.36,11.75
Arborophila charltonii,0.8,1.77,11.7
Arborophila graydoni,0.47,1.36,11.75
Rhizothera longirostris,0.82,2.24,16.61
Rhizothera dulitensis,0.47,1.36,13.22
Melanoperdix niger,0.74,1.75,14.67
Haematortyx sanguiniceps,0.58,1.3,9.82
Caloperdix oculeus,0.54,1.14,9.79
Galloperdix spadicea,0.79,1.94,15.47
Galloperdix lunulata,0.77,1.82,14.47
Galloperdix bicalcarata,0.82,2.09,15.34
Afropavo congensis,0.86,2.75,17.76
Pavo cristatus,0.83,3.83,24.47
Pavo muticus,0.83,3.64,18.11
Argusianus argus,0.86,3.13,22.9
Rheinardia ocellata,0.82,2.08,15.7
Polyplectron napoleonis,0.83,2.06,15.73
Polyplectron malacense,0.87,2.44,17.81
Polyplectron schleiermacheri,0.86,2.27,16.41
Polyplectron germaini,0.85,2.22,16.88
Polyplectron katsumatae,0.81,2.06,16
Polyplectron bicalcaratum,0.84,2.15,17.16
Polyplectron inopinatum,0.83,2.14,14.39
Polyplectron chalcurum,0.84,2.18,16.13
Margaroperdix madagarensis,0.47,0.58,7.31
Coturnix coturnix,0.34,0.75,9.68
Coturnix japonica,0.38,0.81,10.36
Coturnix coromandelica,0.6,1.09,11.27
Coturnix delegorguei,0.56,1.02,10.15
Coturnix pectoralis,0.51,0.96,10.73
Coturnix novaezelandiae,0.48,0.79,10.7
Synoicus ypsilophorus,0.44,0.95,9.9
Synoicus chinensis,0.51,0.99,9.12
Synoicus adansonii,0.47,1.36,13.22
Anurophasis monorthonyx,0.77,1.95,16.38
Tetraogallus caucasicus,0.71,1.12,21.13
Tetraogallus caspius,0.73,1.14,21.44
Tetraogallus himalayensis,0.67,1.05,20.26
Tetraogallus tibetanus,0.77,1.25,21.8
Tetraogallus altaicus,0.79,1.17,24.78
Alectoris graeca,0.44,1.07,8.66
Alectoris chukar,0.53,1.16,8.97
Alectoris magna,0.7,1.04,9.09
Alectoris philbyi,0.65,1.43,9.43
Alectoris barbara,0.36,0.85,6.98
Alectoris rufa,0.42,0.97,8.01
Alectoris melanocephala,0.67,1.53,10.03
Lerwa lerwa,0.78,2.01,18.91
Ammoperdix griseogularis,0.56,1.06,12.62
Ammoperdix heyi,0.66,1.24,12.17
Perdicula asiatica,0.57,1.14,10.85
Perdicula argoondah,0.56,1.11,10.63
Perdicula erythrorhyncha,0.57,1.13,10.73
Perdicula manipurensis,0.64,1.28,12.07
Ophrysia superciliosa,0.47,1.36,13.22
Pternistis hartlaubi,0.63,1.4,13.39
Pternistis bicalcaratus,0.67,1.58,14.61
Pternistis icterorhynchus,0.69,1.62,13.31
Pternistis clappertoni,0.81,1.97,15.72
Pternistis harwoodi,0.72,1.75,16.23
Pternistis adspersus,0.67,1.53,13.32
Pternistis capensis,0.7,1.65,15.01
Pternistis natalensis,0.72,1.75,16.47
Pternistis hildebrandti,0.68,1.64,14.87
Pternistis ahantensis,0.72,1.78,15.82
Pternistis squamatus,0.67,1.58,14.17
Pternistis griseostriatus,0.72,1.65,14.68
Pternistis leucoscepus,0.73,1.84,16.14
Pternistis rufopictus,0.75,1.94,16.81
Pternistis afer,0.67,1.59,14.75
Pternistis swainsonii,0.69,1.68,16.07
Pternistis jacksoni,0.82,2.38,19.59
Pternistis nobilis,0.79,2.04,17.71
Pternistis camerunensis,0.83,2.03,15.88
Pternistis swierstrai,0.75,1.8,16.12
Pternistis castaneicollis,0.76,1.94,15.52
Pternistis atrifrons,0.47,1.36,13.22
Pternistis erckelii,0.69,1.78,16.85
Pternistis ochropectus,0.83,2.13,16.95
Francolinus francolinus,0.52,1.06,9.51
Francolinus pictus,0.73,1.45,9.96
Francolinus pintadeanus,0.67,1.34,10.6
Francolinus pondicerianus,0.57,1.1,9.23
Francolinus gularis,0.77,1.72,13.28
Dendroperdix sephaena,0.69,1.61,11.83
Peliperdix coqui,0.7,1.6,14.36
Peliperdix albogularis,0.69,1.52,12.32
Peliperdix schlegelii,0.73,1.69,14.62
Peliperdix lathami,0.81,2.1,13.55
Scleroptila streptophora,0.76,1.82,13.81
Scleroptila levaillantii,0.61,1.4,13.69
Scleroptila afra,0.68,1.6,15.82
Scleroptila finschi,0.76,1.93,13.65
Scleroptila psilolaema,0.75,1.82,16.04
Scleroptila elgonensis,0.47,1.36,13.22
Scleroptila shelleyi,0.75,1.88,16.9
Scleroptila whytei,0.47,1.36,13.22
Scleroptila gutturalis,0.64,1.47,13.9
Bambusicola fytchii,0.73,1.68,8.59
Bambusicola thoracicus,0.68,1.54,9.09
Bambusicola sonorivox,0.47,1.36,4.5
Gallus gallus,0.73,1.19,20
Gallus sonneratii,0.8,1.42,22.86
Gallus lafayettii,0.86,1.69,24.64
Gallus varius,0.82,1.53,23.18
Tetraophasis obscurus,0.75,2.03,19.11
Tetraophasis szechenyii,0.77,2.11,19.68
Lophophorus impejanus,0.8,2.5,23.6
Lophophorus sclateri,0.78,2.4,22.99
Lophophorus lhuysii,0.83,2.69,25.5
Tragopan melanocephalus,0.77,1.53,22.06
Tragopan satyra,0.83,1.74,23.55
Tragopan blythii,0.84,1.81,21.9
Tragopan temminckii,0.77,1.49,20.92
Tragopan caboti,0.79,1.48,20.57
Ithaginis cruentus,0.71,1.84,17.7
Pucrasia macrolopha,0.81,1.19,19.23
Syrmaticus ellioti,0.7,1.79,13.56
Syrmaticus humiae,0.65,1.61,12.34
Syrmaticus mikado,0.67,1.7,13.02
Syrmaticus soemmerringii,0.73,1.84,12.9
Syrmaticus reevesii,0.67,1.71,13.48
Chrysolophus pictus,0.58,0.95,15.05
Chrysolophus amherstiae,0.72,1.23,16.33
Phasianus colchicus,0.48,1.09,19.36
Phasianus versicolor,0.58,0.89,22.19
Crossoptilon crossoptilon,0.74,2.06,20.58
Crossoptilon harmani,0.74,2.06,20.59
Crossoptilon mantchuricum,0.64,1.66,18.25
Crossoptilon auritum,0.68,1.78,18.83
Catreus wallichii,0.6,1.52,16.48
Lophura leucomelanos,0.7,1.7,15.14
Lophura nycthemera,0.75,1.96,16.86
Lophura edwardsi,0.78,2.07,17.07
Lophura swinhoii,0.72,1.89,18.3
Lophura inornata,0.87,2.71,19.29
Lophura erythrophthalma,0.8,2.17,16.4
Lophura pyronota,0.47,1.36,13.22
Lophura ignita,0.75,2.07,18.36
Lophura rufa,0.47,1.36,13.22
Lophura diardi,0.76,1.99,16.57
Lophura bulweri,0.89,3.07,19.17
Perdix perdix,0.34,0.91,7.57
Perdix dauurica,0.48,0.7,5.45
Perdix hodgsoniae,0.66,1.61,9.28
Meleagris gallopavo,0.48,1.56,17.71
Meleagris ocellata,0.45,1.49,15.9
