Avibase.ID,Species1_BirdLife,Species2_eBird,Species3_BirdTree
AVIBASE-565C6A2F,Pogonotriccus lanyoni,Phylloscartes lanyoni,Phylloscartes lanyoni
AVIBASE-060A7FB7,Pogonotriccus ophthalmicus,Phylloscartes ophthalmicus,Phylloscartes ophthalmicus
AVIBASE-884A2A84,Pogonotriccus orbitalis,Phylloscartes orbitalis,Phylloscartes orbitalis
AVIBASE-0FE016C3,Pogonotriccus poecilotis,Phylloscartes poecilotis,Phylloscartes poecilotis
AVIBASE-2D4F8B2B,Pogonotriccus venezuelanus,Phylloscartes venezuelanus,Phylloscartes venezuelanus
AVIBASE-6C96E81B,Poicephalus crassus,Poicephalus crassus,Poicephalus crassus
AVIBASE-4A039821,Poicephalus cryptoxanthus,Poicephalus cryptoxanthus,Poicephalus cryptoxanthus
AVIBASE-8413D9A5,Poicephalus flavifrons,Poicephalus flavifrons,Poicephalus flavifrons
AVIBASE-0EB10DB3,Poicephalus fuscicollis,Poicephalus fuscicollis,Poicephalus robustus
AVIBASE-83D329B5,Poicephalus gulielmi,Poicephalus gulielmi,Poicephalus gulielmi
AVIBASE-0ECD9D58,Poicephalus meyeri,Poicephalus meyeri,Poicephalus meyeri
AVIBASE-2F4B17A7,Poicephalus robustus,Poicephalus robustus,Poicephalus robustus
AVIBASE-E37F25F7,Poicephalus rueppellii,Poicephalus rueppellii,Poicephalus rueppellii
AVIBASE-69661C7D,Poicephalus rufiventris,Poicephalus rufiventris,Poicephalus rufiventris
AVIBASE-D7F9C6B5,Poicephalus senegalus,Poicephalus senegalus,Poicephalus senegalus
AVIBASE-1636D621,Poikilocarbo gaimardi,Poikilocarbo gaimardi,Phalacrocorax gaimardi
AVIBASE-FDA2E4A3,Polemaetus bellicosus,Polemaetus bellicosus,Polemaetus bellicosus
AVIBASE-6C137D3A,Polihierax insignis,Polihierax insignis,Polihierax insignis
AVIBASE-3B52D2B8,Polihierax semitorquatus,Polihierax semitorquatus,Polihierax semitorquatus
AVIBASE-64866E2A,Poliocephalus poliocephalus,Poliocephalus poliocephalus,Poliocephalus poliocephalus
AVIBASE-5DE62468,Poliocephalus rufopectus,Poliocephalus rufopectus,Poliocephalus rufopectus
AVIBASE-53288223,Poliocrania exsul,Poliocrania exsul,Myrmeciza exsul
AVIBASE-22CDCC04,Poliocrania maculifer,Poliocrania exsul,Myrmeciza exsul
AVIBASE-D083C7B8,Poliolais lopezi,Poliolais lopezi,Poliolais lopezi
AVIBASE-58147836,Poliolophus urostictus,Brachypodius urostictus,Pycnonotus urostictus
AVIBASE-50735F3E,Polioptila albiloris,Polioptila albiloris,Polioptila albiloris
AVIBASE-A15C5071,Polioptila caerulea,Polioptila caerulea,Polioptila caerulea
AVIBASE-A0015FD7,Polioptila californica,Polioptila californica,Polioptila californica
AVIBASE-B47F0D81,Polioptila dumicola,Polioptila dumicola,Polioptila dumicola
AVIBASE-6909DD14,Polioptila guianensis,Polioptila paraensis,Polioptila guianensis
AVIBASE-64EC317B,Polioptila guianensis,Polioptila guianensis,Polioptila guianensis
AVIBASE-73B2C287,Polioptila guianensis,Polioptila facilis,Polioptila guianensis
AVIBASE-CB41276B,Polioptila lactea,Polioptila lactea,Polioptila lactea
AVIBASE-70D28286,Polioptila lembeyei,Polioptila lembeyei,Polioptila lembeyei
AVIBASE-A039EC13,Polioptila maior,Polioptila plumbea,Polioptila plumbea
AVIBASE-C05CE29C,Polioptila melanura,Polioptila melanura,Polioptila melanura
AVIBASE-A6C81FC1,Polioptila nigriceps,Polioptila nigriceps,Polioptila nigriceps
AVIBASE-45304071,Polioptila plumbea,Polioptila plumbea,Polioptila plumbea
AVIBASE-70A56DCB,Polioptila plumbea,Polioptila bilineata,Polioptila plumbea
AVIBASE-07742DD4,Polioptila schistaceigula,Polioptila schistaceigula,Polioptila schistaceigula
AVIBASE-FDB9861B,Polioxolmis rufipennis,Cnemarchus rufipennis,Polioxolmis rufipennis
AVIBASE-0513AFBF,Polyboroides radiatus,Polyboroides radiatus,Polyboroides radiatus
AVIBASE-C505EA72,Polyboroides typus,Polyboroides typus,Polyboroides typus
AVIBASE-EA348366,Polyonymus caroli,Polyonymus caroli,Polyonymus caroli
AVIBASE-824E5471,Polyplectron bicalcaratum,Polyplectron bicalcaratum,Polyplectron bicalcaratum
AVIBASE-BC793E06,Polyplectron chalcurum,Polyplectron chalcurum,Polyplectron chalcurum
AVIBASE-9BB6A6B4,Polyplectron germaini,Polyplectron germaini,Polyplectron germaini
AVIBASE-B79C272A,Polyplectron inopinatum,Polyplectron inopinatum,Polyplectron inopinatum
AVIBASE-F6DD2F7E,Polyplectron katsumatae,Polyplectron katsumatae,Polyplectron katsumatae
AVIBASE-DBFC1B0C,Polyplectron malacense,Polyplectron malacense,Polyplectron malacense
AVIBASE-A71A69A5,Polyplectron napoleonis,Polyplectron napoleonis,Polyplectron napoleonis
AVIBASE-2F560EC7,Polyplectron schleiermacheri,Polyplectron schleiermacheri,Polyplectron schleiermacheri
AVIBASE-BA07D016,Polysticta stelleri,Polysticta stelleri,Polysticta stelleri
AVIBASE-5439BFE4,Polystictus pectoralis,Polystictus pectoralis,Polystictus pectoralis
AVIBASE-AECDB141,Polystictus superciliaris,Polystictus superciliaris,Polystictus superciliaris
AVIBASE-B606EC46,Polytelis alexandrae,Polytelis alexandrae,Polytelis alexandrae
AVIBASE-6F2B75C0,Polytelis anthopeplus,Polytelis anthopeplus,Polytelis anthopeplus
AVIBASE-CF255B3F,Polytelis swainsonii,Polytelis swainsonii,Polytelis swainsonii
AVIBASE-D78E94DF,Polytmus guainumbi,Polytmus guainumbi,Polytmus guainumbi
AVIBASE-E424717B,Polytmus milleri,Polytmus milleri,Polytmus milleri
AVIBASE-5CA2331E,Polytmus theresiae,Polytmus theresiae,Polytmus theresiae
AVIBASE-B494521A,Pomarea dimidiata,Pomarea dimidiata,Pomarea dimidiata
AVIBASE-4E66CF41,Pomarea fluxa,Pomarea fluxa,Pomarea iphis
AVIBASE-F20787D1,Pomarea iphis,Pomarea iphis,Pomarea iphis
AVIBASE-F7B01321,Pomarea mendozae,Pomarea mendozae,Pomarea mendozae
AVIBASE-555F96E9,Pomarea mira,Pomarea mira,Pomarea mendozae
AVIBASE-3B79D946,Pomarea nigra,Pomarea nigra,Pomarea nigra
AVIBASE-20DE8C44,Pomarea nukuhivae,Pomarea nukuhivae,Pomarea mendozae
AVIBASE-01C20C03,Pomarea whitneyi,Pomarea whitneyi,Pomarea whitneyi
AVIBASE-67CF1812,Pomatorhinus ferruginosus,Pomatorhinus ferruginosus,Pomatorhinus ferruginosus
AVIBASE-212FC793,Pomatorhinus horsfieldii,Pomatorhinus horsfieldii,Pomatorhinus horsfieldii
AVIBASE-8E59544F,Pomatorhinus melanurus,Pomatorhinus melanurus,Pomatorhinus melanurus
AVIBASE-0DFC1D72,Pomatorhinus montanus,Pomatorhinus montanus,Pomatorhinus montanus
AVIBASE-A37AFA6B,Pomatorhinus musicus,Pomatorhinus musicus,Pomatorhinus musicus
AVIBASE-37488194,Pomatorhinus ochraceiceps,Pomatorhinus ochraceiceps,Pomatorhinus ochraceiceps
AVIBASE-997E5F29,Pomatorhinus phayrei,Pomatorhinus ferruginosus,Pomatorhinus ferruginosus
AVIBASE-52B6BCA0,Pomatorhinus ruficollis,Pomatorhinus ruficollis,Pomatorhinus ruficollis
AVIBASE-E2E9A295,Pomatorhinus schisticeps,Pomatorhinus schisticeps,Pomatorhinus schisticeps
AVIBASE-F2705CFE,Pomatorhinus superciliaris,Pomatorhinus superciliaris,Xiphirhynchus superciliaris
AVIBASE-EAE93DF4,Pomatostomus halli,Pomatostomus halli,Pomatostomus halli
AVIBASE-3931158F,Pomatostomus ruficeps,Pomatostomus ruficeps,Pomatostomus ruficeps
AVIBASE-F21DB41D,Pomatostomus superciliosus,Pomatostomus superciliosus,Pomatostomus superciliosus
AVIBASE-B783AA95,Pomatostomus temporalis,Pomatostomus temporalis,Pomatostomus temporalis
AVIBASE-EF8973E3,Poodytes albolimbatus,Poodytes albolimbatus,Megalurus albolimbatus
AVIBASE-BA50CCD7,Poodytes carteri,Poodytes carteri,Eremiornis carteri
AVIBASE-462CF36B,Poodytes caudatus,Poodytes punctatus,Bowdleria punctata
AVIBASE-297C0D49,Poodytes gramineus,Poodytes gramineus,Megalurus gramineus
AVIBASE-5CB472D1,Poodytes punctatus,Poodytes punctatus,Bowdleria punctata
AVIBASE-A0CF86E4,Poodytes rufescens,Poodytes rufescens,Bowdleria punctata
AVIBASE-3647E146,Pooecetes gramineus,Pooecetes gramineus,Pooecetes gramineus
AVIBASE-A98353A5,Poospiza baeri,Poospiza baeri,Compsospiza baeri
AVIBASE-A1341C78,Poospiza boliviana,Poospiza boliviana,Poospiza boliviana
AVIBASE-170A9190,Poospiza garleppi,Poospiza garleppi,Compsospiza garleppi
AVIBASE-BF1EC1CD,Poospiza goeringi,Poospiza goeringi,Hemispingus goeringi
AVIBASE-2C01F88A,Poospiza hispaniolensis,Poospiza hispaniolensis,Poospiza hispaniolensis
