"","SPEC","COMMONNAME","Species1_BirdLife","Species2_eBird","Species3_BirdTree","phylo","sex.sel.m","sex.sel.f"
"51","FISP","Field Sparrow","Spizella pusilla","Spizella pusilla","Spizella pusilla","Spizella_pusilla",1,0
"52","INBU","Indigo Bunting","Passerina cyanea","Passerina cyanea","Passerina cyanea","Passerina_cyanea",2,0
"53","TUTI","Tufted Titmouse","Baeolophus bicolor","Baeolophus bicolor","Baeolophus bicolor","Baeolophus_bicolor",0,0
"54","WOTH","Wood Thrush","Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina",NA,NA,NA
"55","CARW","Carolina Wren","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus_ludovicianus",1,0
"56","KEWA","Kentucky Warbler","Geothlypis formosa","Geothlypis formosa","Oporornis formosus","Oporornis_formosus",1,0
"57","LOWA","Louisiana Waterthrush","Parkesia motacilla","Parkesia motacilla","Seiurus motacilla","Seiurus_motacilla",1,1
"58","ACFL","Acadian Flycatcher","Empidonax virescens","Empidonax virescens","Empidonax virescens","Empidonax_virescens",1,0
"59","CACH","Carolina Chickadee","Poecile carolinensis","Poecile carolinensis","Parus carolinensis","Parus_carolinensis",0,0
"60","WEVI","White-eyed Vireo","Vireo griseus","Vireo griseus","Vireo griseus","Vireo_griseus",0,0
"61","PABU","Painted Bunting","Passerina ciris","Passerina ciris","Passerina ciris","Passerina_ciris",2,0
"62","HOWA","Hooded Warbler","Setophaga citrina","Setophaga citrina","Wilsonia citrina","Wilsonia_citrina",1,0
