"","SPEC","Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"152","BWWA","STA_cor(Intercept,Ad",-0.8153,0.1759,-0.9844,-0.3382,1.0003,4770,4414
"153","BWWA","STA_cor(hu_Intercept,hu_Ad",-0.342,0.5361,-0.9725,0.8815,1.0004,4221,6019
"154","BWWA","year_sd(Intercept)",0.1141,0.073,0.0057,0.2754,1.0006,5282,6333
"155","BWWA","year_sd(hu_Intercept)",0.202,0.1521,0.0076,0.5674,1.0005,6403,7014
"156","BWWA","sigma",0.7019,0.039,0.6311,0.7845,1.0001,6509,7166
"157","CACH","Intercept",0.7213,0.0768,0.5666,0.8718,1.0003,7217,7491
"158","CACH","hu_Intercept",0.5252,0.1814,0.1673,0.8834,1.0008,6724,7320
"159","CACH","Adult",-0.3049,0.0255,-0.3571,-0.2574,1.0008,6281,6480
"160","CACH","hu_Adult",-0.54,0.0908,-0.7292,-0.3711,1.0001,4765,6982
"161","CACH","STA_sd(Intercept)",0.2283,0.0899,0.032,0.3927,1.0004,3820,3766
"162","CACH","STA_sd(Ad",0.1022,0.0223,0.0633,0.1515,1.0019,3306,5433
"163","CACH","STA_sd(hu_Intercept)",0.4106,0.2293,0.0288,0.8636,1.0007,4376,6155
"164","CACH","STA_sd(hu_Ad",0.3259,0.0934,0.1507,0.5202,1.0005,2722,4807
"165","CACH","STA_cor(Intercept,Ad",-0.4085,0.3451,-0.8257,0.5661,1.0023,2418,2494
"166","CACH","STA_cor(hu_Intercept,hu_Ad",-0.0654,0.4505,-0.7716,0.8781,1.0012,1879,2909
"167","CACH","year_sd(Intercept)",0.2057,0.049,0.1214,0.3129,1.0001,6609,7456
"168","CACH","year_sd(hu_Intercept)",0.4434,0.129,0.2181,0.7269,1.0001,5998,6784
"169","CACH","sigma",0.6507,0.0226,0.6084,0.6965,1.0004,7878,7314
"170","CARW","Intercept",0.7485,0.0771,0.5909,0.8994,1.0002,7063,6904
"171","CARW","hu_Intercept",-0.6932,0.2195,-1.1353,-0.2719,0.9999,6544,7117
"172","CARW","Adult",-0.1943,0.0162,-0.2269,-0.1638,1,5193,6639
"173","CARW","hu_Adult",-0.2507,0.0566,-0.3699,-0.1481,1.0016,4604,6039
"174","CARW","STA_sd(Intercept)",0.4579,0.0685,0.3289,0.5999,1.0001,5015,6540
"175","CARW","STA_sd(Ad",0.1097,0.0133,0.0859,0.138,1.0008,3113,4941
"176","CARW","STA_sd(hu_Intercept)",0.9074,0.2354,0.4234,1.3671,1.0004,3586,3074
"177","CARW","STA_sd(hu_Ad",0.2785,0.0675,0.1552,0.4213,1.0032,2259,4095
"178","CARW","STA_cor(Intercept,Ad",-0.6551,0.1033,-0.8217,-0.4193,1.0003,3018,4844
"179","CARW","STA_cor(hu_Intercept,hu_Ad",-0.3979,0.2547,-0.7509,0.2503,1.0009,2230,2985
"180","CARW","year_sd(Intercept)",0.1749,0.0366,0.1127,0.256,1.0009,5840,7356
"181","CARW","year_sd(hu_Intercept)",0.5855,0.1426,0.3475,0.9073,1.0001,6401,7490
"182","CARW","sigma",0.6658,0.0162,0.6343,0.6986,0.9999,7859,7507
"183","CBCH","Intercept",0.9445,0.1374,0.6708,1.2115,1,7108,7692
"184","CBCH","hu_Intercept",-0.1371,0.301,-0.7615,0.4204,1.0006,6775,6198
"185","CBCH","Adult",-0.1716,0.0309,-0.2339,-0.1125,1.0002,6984,7087
"186","CBCH","hu_Adult",-0.399,0.1193,-0.6652,-0.1954,1.0008,5640,5901
"187","CBCH","STA_sd(Intercept)",0.6104,0.1243,0.3917,0.8783,0.9999,6108,7336
"188","CBCH","STA_sd(Ad",0.1195,0.0264,0.0746,0.1784,1.0003,4659,6270
"189","CBCH","STA_sd(hu_Intercept)",0.8403,0.3343,0.2184,1.5375,1,5071,4674
"190","CBCH","STA_sd(hu_Ad",0.3727,0.1418,0.1404,0.6923,1.0016,3599,4390
"191","CBCH","STA_cor(Intercept,Ad",-0.4787,0.212,-0.7923,0.0196,1.0002,4990,6309
"192","CBCH","STA_cor(hu_Intercept,hu_Ad",0.1559,0.426,-0.5963,0.9361,1.001,3135,3775
"193","CBCH","year_sd(Intercept)",0.1495,0.0724,0.0138,0.2954,0.9999,4471,4897
"194","CBCH","year_sd(hu_Intercept)",0.4432,0.2006,0.0574,0.8542,1.0004,4649,4812
"195","CBCH","sigma",0.7453,0.0292,0.6911,0.8039,1,7867,7455
"196","CHSP","Intercept",0.1079,0.1459,-0.1873,0.3891,1.0001,6388,7238
"197","CHSP","hu_Intercept",0.9106,0.1975,0.5272,1.3039,1.0001,7489,7682
"198","CHSP","Adult",-0.1682,0.0318,-0.2349,-0.1109,1.0003,5454,6606
"199","CHSP","hu_Adult",-0.3597,0.0742,-0.5195,-0.2265,1.0008,5842,6778
"200","CHSP","STA_sd(Intercept)",0.4906,0.1343,0.2513,0.7807,1.0005,4352,5685
"201","CHSP","STA_sd(Ad",0.1083,0.0272,0.0633,0.1708,1.001,3928,5636
"202","CHSP","STA_sd(hu_Intercept)",0.2865,0.2123,0.0129,0.8014,1.0003,5627,6224
"203","CHSP","STA_sd(hu_Ad",0.2251,0.0812,0.0841,0.4078,1.004,2293,4494
"204","CHSP","STA_cor(Intercept,Ad",-0.8753,0.1221,-0.9932,-0.5642,1.0009,4041,4992
"205","CHSP","STA_cor(hu_Intercept,hu_Ad",-0.1028,0.5384,-0.9384,0.9248,1.0055,1560,3439
"206","CHSP","year_sd(Intercept)",0.1645,0.078,0.0174,0.3218,1,4324,4661
"207","CHSP","year_sd(hu_Intercept)",0.1509,0.1131,0.0057,0.4238,1.0005,6849,6547
"208","CHSP","sigma",0.7133,0.0368,0.6462,0.7884,0.9998,6789,7628
"209","COYE","Intercept",-0.2492,0.0666,-0.3826,-0.1209,1.0001,6427,7494
"210","COYE","hu_Intercept",0.1831,0.1489,-0.1126,0.4763,0.9999,7045,7406
"211","COYE","Adult",-0.0797,0.0081,-0.0964,-0.0645,1.0006,3818,5630
"212","COYE","hu_Adult",-0.2003,0.0231,-0.2481,-0.1579,1.0003,5217,6707
"213","COYE","STA_sd(Intercept)",0.4895,0.0584,0.3803,0.607,1.0006,5297,6539
"214","COYE","STA_sd(Ad",0.0556,0.0079,0.041,0.0719,1.0016,1904,4200
"215","COYE","STA_sd(hu_Intercept)",0.5956,0.1696,0.2687,0.9356,1.0017,5037,5108
"216","COYE","STA_sd(hu_Ad",0.0741,0.0235,0.0315,0.1235,1.0009,2750,4493
"217","COYE","STA_cor(Intercept,Ad",-0.5929,0.1052,-0.7606,-0.3532,1.001,2429,4660
"218","COYE","STA_cor(hu_Intercept,hu_Ad",0.2898,0.4131,-0.493,0.9647,1.0017,2817,4551
"219","COYE","year_sd(Intercept)",0.0407,0.0271,0.0021,0.1012,1.0001,6383,6684
"220","COYE","year_sd(hu_Intercept)",0.3122,0.1061,0.1007,0.5302,1.0007,5159,4422
"221","COYE","sigma",0.7035,0.0149,0.6754,0.7335,1.0001,7026,7801
"222","DOWO","Intercept",0.8689,0.0548,0.7607,0.9752,0.9999,7313,7217
"223","DOWO","hu_Intercept",-0.0708,0.1702,-0.4168,0.2633,1.0003,6312,6555
"224","DOWO","Adult",-0.3523,0.0202,-0.392,-0.3134,1.0007,5662,6966
"225","DOWO","hu_Adult",-0.5255,0.0985,-0.7344,-0.3486,1.0013,4396,6472
"226","DOWO","STA_sd(Intercept)",0.366,0.0433,0.2859,0.4578,1.0001,5965,7035
"227","DOWO","STA_sd(Ad",0.1091,0.0199,0.0718,0.1496,1.0003,3249,4734
"228","DOWO","STA_sd(hu_Intercept)",1.0352,0.1911,0.6732,1.4265,1.0005,5783,6446
"229","DOWO","STA_sd(hu_Ad",0.5175,0.116,0.3076,0.7611,1.0014,2527,4327
"230","DOWO","STA_cor(Intercept,Ad",-0.1002,0.2137,-0.4582,0.3681,1.0002,3411,4436
"231","DOWO","STA_cor(hu_Intercept,hu_Ad",-0.3602,0.1907,-0.6657,0.0776,1.0015,3960,5336
"232","DOWO","year_sd(Intercept)",0.0724,0.0332,0.0087,0.1405,1.0007,4768,4646
"233","DOWO","year_sd(hu_Intercept)",0.204,0.1129,0.0135,0.4426,1.0016,4493,5463
"234","DOWO","sigma",0.5712,0.0136,0.5452,0.5989,1.0004,7507,7137
"235","DUFL","Intercept",-0.391,0.1286,-0.655,-0.1463,1.0001,7463,7207
"236","DUFL","hu_Intercept",0.7026,0.2083,0.3009,1.1204,1.0002,7770,7831
"237","DUFL","Adult",-0.0886,0.0144,-0.1191,-0.0627,1.0002,6674,7339
"238","DUFL","hu_Adult",-0.1121,0.0255,-0.1668,-0.0669,1.0001,7260,7775
"239","DUFL","STA_sd(Intercept)",0.3905,0.1657,0.0564,0.7223,1.0006,3034,4103
"240","DUFL","STA_sd(Ad",0.0466,0.014,0.0228,0.0779,1.0017,3221,4012
"241","DUFL","STA_sd(hu_Intercept)",0.2121,0.1622,0.0087,0.6052,1.0003,7149,7221
"242","DUFL","STA_sd(hu_Ad",0.057,0.022,0.019,0.1067,1.0001,4626,4601
"243","DUFL","STA_cor(Intercept,Ad",-0.6943,0.2802,-0.9601,0.1911,1.0015,3239,2385
"244","DUFL","STA_cor(hu_Intercept,hu_Ad",-0.1269,0.5636,-0.957,0.9295,1.0006,3000,5190
"245","DUFL","year_sd(Intercept)",0.08,0.0566,0.0033,0.2114,1.0004,5515,6743
"246","DUFL","year_sd(hu_Intercept)",0.5174,0.1706,0.1919,0.8784,1,5009,5118
"247","DUFL","sigma",0.7145,0.0363,0.6474,0.7903,1.0005,6195,7156
"248","EATO","Intercept",0.3788,0.1047,0.1728,0.5849,1.0004,6620,7718
"249","EATO","hu_Intercept",0.702,0.2276,0.2618,1.1572,1.0005,8506,8069
"250","EATO","Adult",-0.2861,0.0364,-0.3618,-0.2207,1.0002,6718,7500
"251","EATO","hu_Adult",-0.3805,0.0716,-0.5267,-0.245,1.0002,8340,7708
"252","EATO","STA_sd(Intercept)",0.3652,0.091,0.194,0.5563,1.0002,6334,6656
"253","EATO","STA_sd(Ad",0.1231,0.0268,0.0794,0.1859,1.0003,6187,7019
"254","EATO","STA_sd(hu_Intercept)",0.2373,0.172,0.0098,0.6453,1.0002,7336,6378
"255","EATO","STA_sd(hu_Ad",0.1305,0.0874,0.0064,0.3319,1.0004,4012,5849
"256","EATO","STA_cor(Intercept,Ad",-0.9317,0.0691,-0.9976,-0.7505,1.0001,5806,6847
"257","EATO","STA_cor(hu_Intercept,hu_Ad",-0.1544,0.5715,-0.9665,0.929,1.0002,5377,6360
"258","EATO","year_sd(Intercept)",0.088,0.0547,0.0052,0.2069,1.0001,4853,6784
"259","EATO","year_sd(hu_Intercept)",0.6409,0.1935,0.2869,1.0609,1.0003,5369,6128
"260","EATO","sigma",0.5445,0.0262,0.4956,0.5989,1.0001,7935,7274
"261","FISP","Intercept",-0.2683,0.1633,-0.5853,0.0559,0.9999,6660,7878
"262","FISP","hu_Intercept",1.2211,0.2415,0.7562,1.7002,0.9997,8223,7914
"263","FISP","Adult",-0.1063,0.0218,-0.1516,-0.0654,1.0001,6488,6591
"264","FISP","hu_Adult",-0.3536,0.0629,-0.4879,-0.2424,1.0004,6248,6621
"265","FISP","STA_sd(Intercept)",0.6937,0.1319,0.4671,0.9864,1.0003,5680,6503
"266","FISP","STA_sd(Ad",0.0874,0.0184,0.0561,0.1291,1.0005,4818,6524
"267","FISP","STA_sd(hu_Intercept)",0.3256,0.2479,0.014,0.9262,1.0003,6216,7465
"268","FISP","STA_sd(hu_Ad",0.201,0.0603,0.1002,0.3385,1.0008,3709,5479
"269","FISP","STA_cor(Intercept,Ad",-0.814,0.11,-0.9585,-0.54,1.0003,5338,6640
"270","FISP","STA_cor(hu_Intercept,hu_Ad",-0.1662,0.5419,-0.9572,0.9095,1.0049,1399,3121
"271","FISP","year_sd(Intercept)",0.1228,0.0677,0.0087,0.2621,1.0003,5058,5729
"272","FISP","year_sd(hu_Intercept)",0.2523,0.1733,0.0105,0.6456,1.0002,6054,7046
"273","FISP","sigma",0.6752,0.0331,0.6133,0.7425,1,7527,7499
"274","GCKI","Intercept",1.1561,0.2068,0.7488,1.5634,1.0001,5871,6912
"275","GCKI","hu_Intercept",-0.1042,0.3064,-0.7224,0.4787,1.0006,5972,6782
"276","GCKI","Adult",-0.1838,0.0459,-0.2789,-0.0986,1,5903,6157
"277","GCKI","hu_Adult",-0.5327,0.1435,-0.8573,-0.3005,1.001,4850,5103
"278","GCKI","STA_sd(Intercept)",0.8584,0.1722,0.5757,1.2371,1,6414,7293
"279","GCKI","STA_sd(Ad",0.1276,0.0438,0.0494,0.221,1.0007,4249,4121
"280","GCKI","STA_sd(hu_Intercept)",0.6568,0.3007,0.0809,1.2808,1.0005,4949,4460
"281","GCKI","STA_sd(hu_Ad",0.2452,0.1668,0.0119,0.6358,1.0021,2842,4892
"282","GCKI","STA_cor(Intercept,Ad",-0.292,0.3212,-0.7684,0.4557,1.0006,5720,5658
"283","GCKI","STA_cor(hu_Intercept,hu_Ad",0.0489,0.5188,-0.877,0.947,1.0001,6222,6938
"284","GCKI","year_sd(Intercept)",0.114,0.0744,0.0056,0.2767,1.0015,5564,6458
"285","GCKI","year_sd(hu_Intercept)",0.3824,0.2134,0.0251,0.8227,1.0001,4853,5821
"286","GCKI","sigma",0.8992,0.0382,0.8277,0.9777,1,7988,7808
"287","GRCA","Intercept",-0.4956,0.0941,-0.6808,-0.3101,0.9999,5865,6759
"288","GRCA","hu_Intercept",0.3846,0.2643,-0.1484,0.8795,0.9999,6343,7061
"289","GRCA","Adult",-0.0339,0.0057,-0.0462,-0.0237,1.0003,3179,4810
"290","GRCA","hu_Adult",-0.2358,0.0308,-0.3002,-0.1792,0.9999,5559,6995
"291","GRCA","STA_sd(Intercept)",0.6511,0.0759,0.5111,0.812,1.0005,4510,6702
"292","GRCA","STA_sd(Ad",0.0276,0.0067,0.0165,0.0429,1.0007,1610,3651
"293","GRCA","STA_sd(hu_Intercept)",1.2057,0.2751,0.7007,1.7767,0.9999,4722,6047
"294","GRCA","STA_sd(hu_Ad",0.1142,0.03,0.0582,0.1771,1.0004,2754,3585
"295","GRCA","STA_cor(Intercept,Ad",-0.4687,0.1497,-0.7039,-0.1202,1.0008,2809,3875
"296","GRCA","STA_cor(hu_Intercept,hu_Ad",-0.5609,0.2678,-0.8839,0.1587,1.0009,2999,3417
"297","GRCA","year_sd(Intercept)",0.1113,0.0337,0.0478,0.1814,1.0002,5542,5090
"298","GRCA","year_sd(hu_Intercept)",0.3274,0.1515,0.0373,0.633,1.0004,4944,5033
"299","GRCA","sigma",0.6624,0.0159,0.6319,0.6947,1.0001,5935,7244
"300","HAFL","Intercept",0.4845,0.1691,0.1508,0.8217,1.0005,5650,6092
"301","HAFL","hu_Intercept",0.067,0.2759,-0.4754,0.6239,1.0001,7215,6931
"302","HAFL","Adult",-0.2996,0.0361,-0.374,-0.2317,1.0002,6249,7262
"303","HAFL","hu_Adult",-0.0755,0.0581,-0.1955,0.0311,1,7735,7392
"304","HAFL","STA_sd(Intercept)",0.6502,0.1423,0.4152,0.9793,1.0003,4881,6432
"305","HAFL","STA_sd(Ad",0.129,0.0318,0.0745,0.2012,1.0008,5171,6272
"306","HAFL","STA_sd(hu_Intercept)",0.8332,0.2881,0.3362,1.4728,1.0004,5623,6472
