"","SPEC","Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"363","HOWA","year_sd(hu_Intercept)",0.2414,0.1626,0.0118,0.6114,0.9999,5986,6872
"364","HOWA","sigma",0.6724,0.0344,0.6094,0.7462,1.0001,6113,6587
"365","HOWR","Intercept",0.3398,0.0881,0.1629,0.5102,1.0001,6828,7214
"366","HOWR","hu_Intercept",0.0986,0.2253,-0.3461,0.5434,1.0004,5680,6991
"367","HOWR","Adult",-0.1168,0.0124,-0.1419,-0.0935,1,6367,6966
"368","HOWR","hu_Adult",-0.4308,0.0749,-0.5958,-0.3002,1.0009,3362,4965
"369","HOWR","STA_sd(Intercept)",0.5848,0.0715,0.4568,0.7356,1.0008,6067,7479
"370","HOWR","STA_sd(Ad",0.0629,0.0108,0.0434,0.0859,1.0009,4078,5953
"371","HOWR","STA_sd(hu_Intercept)",1.0442,0.2235,0.6373,1.5103,1.0005,6100,6811
"372","HOWR","STA_sd(hu_Ad",0.2309,0.083,0.0693,0.409,1.0007,2028,2414
"373","HOWR","STA_cor(Intercept,Ad",-0.5106,0.144,-0.743,-0.1886,1.0003,5032,6665
"374","HOWR","STA_cor(hu_Intercept,hu_Ad",-0.3265,0.2855,-0.7482,0.3688,1,4807,4540
"375","HOWR","year_sd(Intercept)",0.0701,0.039,0.0046,0.1515,1.0012,5037,6512
"376","HOWR","year_sd(hu_Intercept)",0.2981,0.1477,0.0253,0.6027,1.0005,4637,5756
"377","HOWR","sigma",0.6947,0.0188,0.6588,0.7328,1.0005,7681,7615
"378","INBU","Intercept",-0.6743,0.1247,-0.9238,-0.4359,1,7174,7223
"379","INBU","hu_Intercept",1.0295,0.1687,0.7073,1.3724,1.0006,7844,7931
"380","INBU","Adult",-0.0886,0.0125,-0.1139,-0.0653,1.0002,4913,6425
"381","INBU","hu_Adult",-0.1039,0.0172,-0.1401,-0.0734,1.0007,6587,6774
"382","INBU","STA_sd(Intercept)",0.5559,0.1135,0.3396,0.7856,1.001,5649,6219
"383","INBU","STA_sd(Ad",0.0488,0.0113,0.0282,0.0724,1.0019,3438,4688
"384","INBU","STA_sd(hu_Intercept)",0.2845,0.2127,0.0115,0.795,0.9997,4721,6649
"385","INBU","STA_sd(hu_Ad",0.039,0.0216,0.0037,0.0888,1.0001,3273,5153
"386","INBU","STA_cor(Intercept,Ad",-0.8656,0.1123,-0.9836,-0.5945,1.0006,4089,5405
"387","INBU","STA_cor(hu_Intercept,hu_Ad",-0.4231,0.5438,-0.9876,0.8574,1.0012,3637,5984
"388","INBU","year_sd(Intercept)",0.0706,0.0494,0.0032,0.182,1,5854,6786
"389","INBU","year_sd(hu_Intercept)",0.2413,0.1286,0.0183,0.5073,1.0007,5341,5638
"390","INBU","sigma",0.6393,0.0286,0.5862,0.6976,1.0003,7370,7557
"391","KEWA","Intercept",-0.007,0.0733,-0.1539,0.1353,1,7886,7717
"392","KEWA","hu_Intercept",0.2472,0.2839,-0.3387,0.7812,1.0004,5048,7451
"393","KEWA","Adult",-0.1019,0.0121,-0.1267,-0.0794,1.0001,5743,7225
"394","KEWA","hu_Adult",-0.2618,0.0503,-0.366,-0.1724,1.0002,4342,6551
"395","KEWA","STA_sd(Intercept)",0.1194,0.0806,0.0062,0.2969,1.0005,4206,6148
"396","KEWA","STA_sd(Ad",0.0518,0.0108,0.0335,0.0757,1.0012,1787,4344
"397","KEWA","STA_sd(hu_Intercept)",1.1046,0.3832,0.3044,1.8625,1.0005,2876,2110
"398","KEWA","STA_sd(hu_Ad",0.1803,0.0552,0.0781,0.2975,1.0008,2631,2586
"399","KEWA","STA_cor(Intercept,Ad",-0.3733,0.4793,-0.9689,0.777,1.0044,744,1460
"400","KEWA","STA_cor(hu_Intercept,hu_Ad",-0.568,0.2886,-0.8919,0.2442,1.0005,3503,2651
"401","KEWA","year_sd(Intercept)",0.0831,0.05,0.0048,0.1889,1.001,5021,5938
"402","KEWA","year_sd(hu_Intercept)",0.1958,0.1346,0.0082,0.5034,1.0009,5193,6443
"403","KEWA","sigma",0.6896,0.0236,0.6449,0.7374,1.0007,7292,7765
"404","LAZB","Intercept",-0.2257,0.1665,-0.5566,0.0997,1.0006,7208,7582
"405","LAZB","hu_Intercept",0.7405,0.2649,0.2252,1.2694,1.0001,7978,7593
"406","LAZB","Adult",-0.1011,0.0206,-0.143,-0.0629,1.0005,6908,7687
"407","LAZB","hu_Adult",-0.2263,0.0473,-0.3299,-0.1439,1.0007,6617,7036
"408","LAZB","STA_sd(Intercept)",0.6556,0.138,0.4273,0.9624,1.0003,6511,7074
"409","LAZB","STA_sd(Ad",0.0727,0.0178,0.0439,0.1132,1.0005,5089,6377
"410","LAZB","STA_sd(hu_Intercept)",0.6073,0.3004,0.0664,1.2335,1.0002,4726,4057
"411","LAZB","STA_sd(hu_Ad",0.0998,0.0611,0.0063,0.2348,1.0008,3434,6422
"412","LAZB","STA_cor(Intercept,Ad",-0.748,0.1515,-0.9372,-0.3598,1.0014,6296,7497
"413","LAZB","STA_cor(hu_Intercept,hu_Ad",0.2088,0.4862,-0.7589,0.9633,1.0002,5525,6370
"414","LAZB","year_sd(Intercept)",0.1231,0.0724,0.0072,0.2715,1.0003,5042,6516
"415","LAZB","year_sd(hu_Intercept)",0.4316,0.2203,0.0351,0.8926,1.0006,4866,5849
"416","LAZB","sigma",0.6634,0.0338,0.6001,0.7327,1,7013,7712
"417","LEGO","Intercept",-0.1377,0.1669,-0.4636,0.187,0.9999,7828,7623
"418","LEGO","hu_Intercept",0.5264,0.2253,0.093,0.9838,1.0006,6910,7212
"419","LEGO","Adult",-0.0668,0.0238,-0.1166,-0.0224,1.001,6853,7279
"420","LEGO","hu_Adult",-0.2079,0.058,-0.3355,-0.1097,1.0001,6878,7305
"421","LEGO","STA_sd(Intercept)",0.6126,0.1488,0.3609,0.937,1.0002,5802,6026
"422","LEGO","STA_sd(Ad",0.0766,0.0221,0.0413,0.1256,1.0003,5511,6845
"423","LEGO","STA_sd(hu_Intercept)",0.3526,0.257,0.0159,0.9471,0.9997,5806,7105
"424","LEGO","STA_sd(hu_Ad",0.1545,0.0628,0.0576,0.3043,1.0006,4507,5463
"425","LEGO","STA_cor(Intercept,Ad",-0.2288,0.3157,-0.732,0.4764,1.0003,5330,6254
"426","LEGO","STA_cor(hu_Intercept,hu_Ad",-0.0912,0.5158,-0.899,0.9174,1.0005,3011,4847
"427","LEGO","year_sd(Intercept)",0.1912,0.0865,0.0214,0.3671,1.0001,4907,5543
"428","LEGO","year_sd(hu_Intercept)",0.2388,0.1629,0.0097,0.6075,1.0002,6491,6603
"429","LEGO","sigma",0.7122,0.0411,0.6367,0.7969,1,6774,7196
"430","LISP","Intercept",-0.0725,0.1105,-0.2936,0.141,1.0004,6238,7600
"431","LISP","hu_Intercept",0.5817,0.2429,0.0791,1.0591,1.0001,6276,7108
"432","LISP","Adult",-0.0952,0.0166,-0.1295,-0.0654,1.0005,4931,5870
"433","LISP","hu_Adult",-0.3555,0.0577,-0.4798,-0.2521,1.0002,4245,5916
"434","LISP","STA_sd(Intercept)",0.3772,0.1091,0.1515,0.5915,1.0002,4153,3509
"435","LISP","STA_sd(Ad",0.0641,0.0143,0.0394,0.0946,1.0012,2829,4774
"436","LISP","STA_sd(hu_Intercept)",0.4765,0.3074,0.0273,1.1614,1.0007,4108,5917
"437","LISP","STA_sd(hu_Ad",0.1519,0.0603,0.0405,0.2845,1.0004,2210,2720
"438","LISP","STA_cor(Intercept,Ad",-0.6535,0.1963,-0.8973,-0.173,1.0001,3144,2973
"439","LISP","STA_cor(hu_Intercept,hu_Ad",-0.1167,0.5123,-0.8854,0.8994,1.0006,1975,3615
"440","LISP","year_sd(Intercept)",0.1536,0.0525,0.0499,0.261,1.0001,4885,4405
"441","LISP","year_sd(hu_Intercept)",0.3627,0.1856,0.0294,0.7466,1.0005,4573,4620
"442","LISP","sigma",0.6837,0.0242,0.6382,0.7332,1.0008,7273,7672
"443","LOWA","Intercept",0.6804,0.1094,0.4591,0.8925,1.0013,6974,7495
"444","LOWA","hu_Intercept",0.2838,0.2739,-0.2713,0.8171,1.0005,7759,7581
"445","LOWA","Adult",-0.2356,0.0339,-0.3097,-0.1768,1.0013,4840,6605
"446","LOWA","hu_Adult",-0.6446,0.1592,-0.9992,-0.3746,0.9999,6691,6589
"447","LOWA","STA_sd(Intercept)",0.3508,0.113,0.1387,0.5886,1.0011,5351,4919
"448","LOWA","STA_sd(Ad",0.0836,0.0336,0.0257,0.1589,1.0012,3163,4981
"449","LOWA","STA_sd(hu_Intercept)",0.4216,0.3047,0.0175,1.1282,1.0004,5540,7026
"450","LOWA","STA_sd(hu_Ad",0.4418,0.1873,0.1282,0.8658,1,2964,4676
"451","LOWA","STA_cor(Intercept,Ad",0.3896,0.3715,-0.3633,0.9668,1.001,3531,4389
"452","LOWA","STA_cor(hu_Intercept,hu_Ad",-0.1691,0.5397,-0.9379,0.9217,1.0006,1968,4220
"453","LOWA","year_sd(Intercept)",0.0666,0.0471,0.0028,0.1751,1.0002,6160,6143
"454","LOWA","year_sd(hu_Intercept)",0.2737,0.1851,0.014,0.7001,1.0004,5648,6520
"455","LOWA","sigma",0.6272,0.0283,0.575,0.6846,1.0001,7826,7476
"456","MGWA","Intercept",-0.1312,0.1022,-0.3394,0.0673,1.0009,6076,6865
"457","MGWA","hu_Intercept",-0.1629,0.2588,-0.6637,0.3407,1.0008,6223,7295
"458","MGWA","Adult",-0.085,0.0096,-0.1041,-0.0668,1.0008,3985,6551
"459","MGWA","hu_Adult",-0.1601,0.0265,-0.2154,-0.113,1.0004,4324,6209
"460","MGWA","STA_sd(Intercept)",0.6347,0.0745,0.4993,0.7897,1.0013,5180,7285
"461","MGWA","STA_sd(Ad",0.0604,0.0087,0.0445,0.0786,1.003,1898,3892
"462","MGWA","STA_sd(hu_Intercept)",1.0992,0.2334,0.6822,1.5963,1,3913,6953
"463","MGWA","STA_sd(hu_Ad",0.1057,0.0391,0.0268,0.182,1.0028,1347,1546
"464","MGWA","STA_cor(Intercept,Ad",-0.6435,0.0981,-0.7973,-0.4195,1.002,2599,4351
"465","MGWA","STA_cor(hu_Intercept,hu_Ad",-0.3899,0.3392,-0.8032,0.5653,1.0008,1797,2370
"466","MGWA","year_sd(Intercept)",0.2429,0.0464,0.1662,0.3458,1.0001,5425,6983
"467","MGWA","year_sd(hu_Intercept)",0.7665,0.1511,0.5127,1.1125,1.0005,5154,6898
"468","MGWA","sigma",0.6561,0.0154,0.6266,0.6866,1.0004,7377,7444
"469","MOCH","Intercept",0.5337,0.1033,0.3283,0.733,1.0008,8000,7671
"470","MOCH","hu_Intercept",-0.2219,0.2301,-0.6911,0.2034,1,7542,7692
"471","MOCH","Adult",-0.16,0.0256,-0.214,-0.1133,1.0005,6550,6694
"472","MOCH","hu_Adult",-0.2058,0.0546,-0.3246,-0.1095,1.0003,7502,7324
"473","MOCH","STA_sd(Intercept)",0.1629,0.1033,0.008,0.3863,1,5449,6336
"474","MOCH","STA_sd(Ad",0.0618,0.0213,0.0269,0.11,1.0025,3892,6107
"475","MOCH","STA_sd(hu_Intercept)",0.6002,0.248,0.1104,1.1106,1.0002,4565,4434
"476","MOCH","STA_sd(hu_Ad",0.1142,0.0691,0.0071,0.2689,1.0007,4141,6405
"477","MOCH","STA_cor(Intercept,Ad",-0.1963,0.516,-0.9241,0.8972,1.0021,2643,4256
"478","MOCH","STA_cor(hu_Intercept,hu_Ad",-0.4438,0.4787,-0.9751,0.7914,0.9998,5907,6981
"479","MOCH","year_sd(Intercept)",0.2674,0.0642,0.1532,0.4075,0.9999,6560,7137
"480","MOCH","year_sd(hu_Intercept)",0.4582,0.1751,0.1118,0.8257,1.001,5084,5068
"481","MOCH","sigma",0.7628,0.0302,0.7058,0.825,1.0004,8084,7561
"482","NAWA","Intercept",0.6591,0.1542,0.3528,0.9634,1.0002,6497,7168
"483","NAWA","hu_Intercept",-0.1919,0.3432,-0.8909,0.4711,1.0001,7200,7810
"484","NAWA","Adult",-0.1296,0.0238,-0.1815,-0.0867,0.9999,6550,6892
"485","NAWA","hu_Adult",-0.3462,0.1064,-0.5792,-0.1613,1.0006,5921,5977
"486","NAWA","STA_sd(Intercept)",0.5912,0.1327,0.3643,0.8822,0.9998,6322,7236
"487","NAWA","STA_sd(Ad",0.0659,0.0262,0.0213,0.1262,1.0004,4755,6093
"488","NAWA","STA_sd(hu_Intercept)",1.1509,0.3813,0.4594,1.9742,1.0007,4771,4145
"489","NAWA","STA_sd(hu_Ad",0.3477,0.1345,0.1163,0.6488,1.0002,3439,3510
"490","NAWA","STA_cor(Intercept,Ad",0.3272,0.3935,-0.4592,0.9569,1.0003,5259,6178
"491","NAWA","STA_cor(hu_Intercept,hu_Ad",-0.3167,0.345,-0.8134,0.5263,1.001,4228,4831
"492","NAWA","year_sd(Intercept)",0.2655,0.0794,0.1134,0.4316,1.0008,5362,5648
"493","NAWA","year_sd(hu_Intercept)",0.4702,0.2013,0.0772,0.8818,1.0002,5148,5112
"494","NAWA","sigma",0.8526,0.0352,0.7852,0.9242,1.0002,7969,7718
"495","NOCA","Intercept",-0.1134,0.0684,-0.2467,0.0197,1.0006,4621,6468
"496","NOCA","hu_Intercept",0.1412,0.1755,-0.2015,0.4811,0.9999,5489,6956
"497","NOCA","Adult",-0.0982,0.0104,-0.1187,-0.0787,1.0042,2298,4260
"498","NOCA","hu_Adult",-0.2183,0.0264,-0.272,-0.1689,1.0007,3552,6403
"499","NOCA","STA_sd(Intercept)",0.2595,0.0783,0.087,0.4012,1.0024,1100,739
"500","NOCA","STA_sd(Ad",0.0489,0.0097,0.0309,0.0687,1.0089,813,2372
"501","NOCA","STA_sd(hu_Intercept)",0.7284,0.2182,0.2986,1.1582,1.0006,2358,4337
"502","NOCA","STA_sd(hu_Ad",0.125,0.0434,0.0384,0.2096,1.0023,1050,1294
"503","NOCA","STA_cor(Intercept,Ad",-0.1319,0.3468,-0.6244,0.7472,1.01,505,762
"504","NOCA","STA_cor(hu_Intercept,hu_Ad",-0.3924,0.4004,-0.8477,0.7255,1.0014,1326,1630
"505","NOCA","year_sd(Intercept)",0.1651,0.0363,0.1033,0.2436,1.0003,5890,7216
"506","NOCA","year_sd(hu_Intercept)",0.4139,0.1088,0.2195,0.6469,1.0004,4999,6582
"507","NOCA","sigma",0.7145,0.015,0.6859,0.7445,0.9998,6005,7683
"508","OCWA","Intercept",0.1791,0.1182,-0.0508,0.4121,1.0004,5483,6978
"509","OCWA","hu_Intercept",0.2769,0.2688,-0.2517,0.7947,1,6938,7691
"510","OCWA","Adult",-0.0941,0.0152,-0.1267,-0.0665,1.0005,4891,5395
"511","OCWA","hu_Adult",-0.3511,0.0647,-0.4921,-0.2401,1.001,4776,6039
"512","OCWA","STA_sd(Intercept)",0.6366,0.1007,0.4591,0.8495,1.0001,5192,6919
"513","OCWA","STA_sd(Ad",0.0663,0.0145,0.0413,0.0983,1.0002,2939,4953
"514","OCWA","STA_sd(hu_Intercept)",0.9952,0.2923,0.4782,1.6239,1.0004,5056,6241
"515","OCWA","STA_sd(hu_Ad",0.1645,0.0674,0.0349,0.3063,1.0034,2486,3053
"516","OCWA","STA_cor(Intercept,Ad",-0.5561,0.1629,-0.806,-0.1701,1.0003,3871,6377
"517","OCWA","STA_cor(hu_Intercept,hu_Ad",0.0386,0.4566,-0.7154,0.924,1.0018,3210,4984
"518","OCWA","year_sd(Intercept)",0.0846,0.0521,0.0043,0.1954,1.0002,5048,5483
"519","OCWA","year_sd(hu_Intercept)",0.3245,0.1721,0.0248,0.6813,1.0007,4306,4732
"520","OCWA","sigma",0.7484,0.0248,0.7017,0.799,0.9999,7792,7371
"521","ORJU","Intercept",0.3117,0.1178,0.0816,0.5444,0.9999,6957,7597
"522","ORJU","hu_Intercept",-0.5408,0.3039,-1.1606,0.0425,1.0002,7332,7258
"523","ORJU","Adult",-0.073,0.0115,-0.0968,-0.0518,1.0003,4670,6232
"524","ORJU","hu_Adult",-0.273,0.0447,-0.3716,-0.1926,1.0004,5933,6882
"525","ORJU","STA_sd(Intercept)",0.7005,0.0828,0.5515,0.878,1.0002,5610,6710
"526","ORJU","STA_sd(Ad",0.0543,0.012,0.0321,0.0788,1,2762,3529
"527","ORJU","STA_sd(hu_Intercept)",1.2798,0.2608,0.8165,1.8393,1,5817,6974
"528","ORJU","STA_sd(hu_Ad",0.1238,0.0532,0.0158,0.2275,1.001,2779,3574
"529","ORJU","STA_cor(Intercept,Ad",-0.4302,0.1543,-0.6808,-0.0836,1.0003,3896,5637
"530","ORJU","STA_cor(hu_Intercept,hu_Ad",-0.4547,0.3632,-0.8909,0.5632,1.0005,5195,4319
"531","ORJU","year_sd(Intercept)",0.2784,0.052,0.1915,0.3975,1.0005,5871,7356
"532","ORJU","year_sd(hu_Intercept)",0.6216,0.164,0.3365,0.9816,1.0004,5925,6674
"533","ORJU","sigma",0.7716,0.0182,0.7361,0.8074,1.0002,6488,7137
"534","OVEN","Intercept",0.2227,0.0752,0.073,0.3659,1.0001,7320,6992
"535","OVEN","hu_Intercept",0.2618,0.1882,-0.1156,0.6263,1.0003,6963,7288
"536","OVEN","Adult",-0.171,0.0152,-0.2024,-0.1424,1.0006,4876,6619
"537","OVEN","hu_Adult",-0.2657,0.0366,-0.3423,-0.1987,1.0007,6176,7496
"538","OVEN","STA_sd(Intercept)",0.3882,0.0712,0.2547,0.5359,1.0003,5457,6491
"539","OVEN","STA_sd(Ad",0.0863,0.013,0.0624,0.1136,1.0019,2027,4022
"540","OVEN","STA_sd(hu_Intercept)",0.9245,0.1983,0.5551,1.3245,0.9999,5461,7034
"541","OVEN","STA_sd(hu_Ad",0.0926,0.0499,0.0075,0.1978,1.0029,2136,4327
"542","OVEN","STA_cor(Intercept,Ad",-0.5406,0.1519,-0.7713,-0.1879,1.0011,2192,4118
"543","OVEN","STA_cor(hu_Intercept,hu_Ad",0.2173,0.436,-0.6089,0.9505,1.0004,5127,6516
"544","OVEN","year_sd(Intercept)",0.0757,0.0394,0.006,0.1558,1,4831,5849
"545","OVEN","year_sd(hu_Intercept)",0.1272,0.0908,0.0056,0.3358,1.0003,6352,6532
"546","OVEN","sigma",0.6675,0.0177,0.6342,0.7036,1.0002,7314,8013
"547","PABU","Intercept",-0.6956,0.1591,-1.0024,-0.3795,1.0004,3963,6063
"548","PABU","hu_Intercept",0.6948,0.2741,0.1552,1.2514,1,6847,7655
"549","PABU","Adult",-0.0475,0.0195,-0.0906,-0.0148,1.0017,2307,4093
"550","PABU","hu_Adult",-0.1631,0.0329,-0.2327,-0.1029,1.0005,6261,6723
"551","PABU","STA_sd(Intercept)",0.2755,0.1665,0.0154,0.6355,1.0016,3052,5820
"552","PABU","STA_sd(Ad",0.0375,0.0201,0.0063,0.084,1.0036,1387,2887
"553","PABU","STA_sd(hu_Intercept)",0.3645,0.27,0.0143,1.0134,1.0003,5676,6467
"554","PABU","STA_sd(hu_Ad",0.0766,0.0382,0.0086,0.1619,1.0009,3282,3780
"555","PABU","STA_cor(Intercept,Ad",-0.5044,0.4893,-0.9886,0.7858,1.0029,1739,4276
"556","PABU","STA_cor(hu_Intercept,hu_Ad",-0.158,0.5572,-0.9616,0.9146,1.0009,2813,5323
"557","PABU","year_sd(Intercept)",0.2383,0.0864,0.0646,0.4162,1.001,4736,3664
"558","PABU","year_sd(hu_Intercept)",0.4875,0.2115,0.0773,0.9295,1.0002,5144,4775
"559","PABU","sigma",0.8546,0.0448,0.7717,0.9466,1.001,4535,6951
"560","PUFI","Intercept",-0.154,0.1351,-0.424,0.1043,1,6484,7278
"561","PUFI","hu_Intercept",0.4657,0.1875,0.1062,0.8433,1.0002,7432,7440
"562","PUFI","Adult",-0.0706,0.0151,-0.1018,-0.0423,1.0008,5226,6099
"563","PUFI","hu_Adult",-0.1747,0.0397,-0.2624,-0.1081,1.0003,5124,6200
"564","PUFI","STA_sd(Intercept)",0.5714,0.113,0.3721,0.8209,1.0001,5548,6971
"565","PUFI","STA_sd(Ad",0.0558,0.0133,0.0344,0.0868,1.0008,4313,5779
"566","PUFI","STA_sd(hu_Intercept)",0.4094,0.2238,0.0329,0.8741,1.0002,4932,5316
"567","PUFI","STA_sd(hu_Ad",0.1071,0.0468,0.0293,0.212,1.0027,3163,4432
"568","PUFI","STA_cor(Intercept,Ad",-0.5942,0.1877,-0.872,-0.1589,1.0008,5210,6607
"569","PUFI","STA_cor(hu_Intercept,hu_Ad",0.0545,0.4918,-0.794,0.9408,1.0013,2589,4877
"570","PUFI","year_sd(Intercept)",0.2191,0.0711,0.0791,0.3671,1.0005,4917,4858
"571","PUFI","year_sd(hu_Intercept)",0.197,0.1334,0.0095,0.4895,0.9999,5800,6140
"572","PUFI","sigma",0.7575,0.0313,0.6993,0.8226,1.0002,7273,7453
"573","RBNU","Intercept",0.9168,0.1456,0.6354,1.2051,1.0001,6167,7538
"574","RBNU","hu_Intercept",0.1534,0.2984,-0.4538,0.7256,1.0001,6729,7365
"575","RBNU","Adult",-0.3296,0.0676,-0.4731,-0.2083,1.0004,5418,6846
"576","RBNU","hu_Adult",-0.5735,0.195,-0.9958,-0.2231,1.0001,6178,6596
"577","RBNU","STA_sd(Intercept)",0.4192,0.1617,0.1094,0.7486,1,3746,3633
"578","RBNU","STA_sd(Ad",0.1934,0.0641,0.089,0.338,0.9998,3571,5808
"579","RBNU","STA_sd(hu_Intercept)",0.6217,0.3824,0.0347,1.464,1.0002,4929,6864
"580","RBNU","STA_sd(hu_Ad",0.6344,0.2667,0.1602,1.2282,1.0007,2467,3190
"581","RBNU","STA_cor(Intercept,Ad",-0.4008,0.3858,-0.8822,0.6427,1.0003,2913,2981
"582","RBNU","STA_cor(hu_Intercept,hu_Ad",-0.1753,0.4869,-0.9002,0.8657,1.0006,2133,3792
"583","RBNU","year_sd(Intercept)",0.1625,0.0767,0.0166,0.3188,1.0008,4712,5495
"584","RBNU","year_sd(hu_Intercept)",0.5377,0.2325,0.081,1.0106,1.0003,4510,4223
"585","RBNU","sigma",0.7214,0.0369,0.6536,0.7995,1.0001,6267,7071
"586","RBSA","Intercept",0.3052,0.0982,0.1187,0.506,1.0003,7779,7546
"587","RBSA","hu_Intercept",0.7128,0.2213,0.2714,1.1481,0.9998,8395,7805
"588","RBSA","Adult",-0.2123,0.0269,-0.2685,-0.1628,1.0001,7542,7520
"589","RBSA","hu_Adult",-0.4357,0.0658,-0.5697,-0.3116,1,7877,6805
"590","RBSA","STA_sd(Intercept)",0.2931,0.0905,0.126,0.482,0.9998,6571,6572
"591","RBSA","STA_sd(Ad",0.0867,0.0216,0.0494,0.1342,0.9999,6506,6876
"592","RBSA","STA_sd(hu_Intercept)",0.3973,0.2365,0.0254,0.9219,1.0007,5027,6438
"593","RBSA","STA_sd(hu_Ad",0.0959,0.0692,0.0039,0.2616,0.9999,5196,6748
"594","RBSA","STA_cor(Intercept,Ad",-0.9301,0.0874,-0.9984,-0.7214,1.0004,6887,6539
"595","RBSA","STA_cor(hu_Intercept,hu_Ad",-0.2592,0.5628,-0.9737,0.9035,1.0009,7048,6888
"596","RBSA","year_sd(Intercept)",0.0851,0.0517,0.0048,0.1952,1.0012,5245,6486
"597","RBSA","year_sd(hu_Intercept)",0.3998,0.1698,0.0704,0.7501,1.0029,4813,5032
"598","RBSA","sigma",0.6305,0.0247,0.5837,0.6804,0.9999,7745,7576
"599","REVI","Intercept",-0.263,0.1188,-0.5124,-0.0364,1.0011,6088,6355
"600","REVI","hu_Intercept",0.8022,0.2201,0.3802,1.2435,1.0006,7626,7431
"601","REVI","Adult",-0.1338,0.0187,-0.1742,-0.1006,1.0016,4200,5925
"602","REVI","hu_Adult",-0.1161,0.0342,-0.1884,-0.0555,1.0003,6126,7173
"603","REVI","STA_sd(Intercept)",0.312,0.1478,0.0288,0.6027,1.0001,2675,3520
"604","REVI","STA_sd(Ad",0.054,0.0178,0.024,0.093,1.0006,2109,2783
"605","REVI","STA_sd(hu_Intercept)",0.2133,0.1677,0.0083,0.6113,1.0005,6526,5956
"606","REVI","STA_sd(hu_Ad",0.0822,0.033,0.0246,0.1556,1.001,3098,3855
"607","REVI","STA_cor(Intercept,Ad",-0.6838,0.3583,-0.9875,0.4757,1.0003,1986,1493
"608","REVI","STA_cor(hu_Intercept,hu_Ad",-0.2408,0.5593,-0.9773,0.896,1.0006,1896,4326
"609","REVI","year_sd(Intercept)",0.1061,0.0675,0.0058,0.2527,1.0007,4801,5468
"610","REVI","year_sd(hu_Intercept)",0.4875,0.1709,0.1508,0.8347,1.0004,5412,4796
"611","REVI","sigma",0.617,0.0371,0.548,0.6934,1.0002,5571,6817
"612","SOSP","Intercept",0.2881,0.0596,0.1705,0.4032,1.0006,6948,7226
"613","SOSP","hu_Intercept",-0.2179,0.2181,-0.6498,0.2026,1.0002,6749,7252
"614","SOSP","Adult",-0.0566,0.0061,-0.0692,-0.0451,1.0012,4423,6371
"615","SOSP","hu_Adult",-0.4797,0.0577,-0.6028,-0.3773,1.001,4681,6528
"616","SOSP","STA_sd(Intercept)",0.4794,0.0477,0.3907,0.5773,1.0002,5066,6561
"617","SOSP","STA_sd(Ad",0.0425,0.0064,0.0308,0.0559,1.0018,2106,4138
"618","SOSP","STA_sd(hu_Intercept)",1.1113,0.2015,0.7354,1.5251,1.0005,5806,6963
"619","SOSP","STA_sd(hu_Ad",0.2384,0.0451,0.158,0.334,1.0021,3579,5261
"620","SOSP","STA_cor(Intercept,Ad",-0.1459,0.1507,-0.4064,0.1857,1.0017,1807,3593
"621","SOSP","STA_cor(hu_Intercept,hu_Ad",-0.4388,0.1994,-0.7432,0.0284,1.0005,3389,4878
"622","SOSP","year_sd(Intercept)",0.1442,0.0284,0.0968,0.2092,1.0005,5336,6526
"623","SOSP","year_sd(hu_Intercept)",0.4609,0.1326,0.2142,0.7405,1.0018,5124,5074
"624","SOSP","sigma",0.6854,0.011,0.6642,0.7075,1.0002,7108,7532
"625","SPTO","Intercept",0.4565,0.1084,0.2418,0.667,0.9998,7391,7539
"626","SPTO","hu_Intercept",-0.2496,0.2814,-0.8116,0.2759,1.0002,7500,7522
"627","SPTO","Adult",-0.1728,0.0207,-0.2158,-0.1355,1.0002,5565,6813
"628","SPTO","hu_Adult",-0.3003,0.0693,-0.4474,-0.1745,1.0004,5626,7035
"629","SPTO","STA_sd(Intercept)",0.537,0.0927,0.3689,0.7307,0.9998,5853,6713
"630","SPTO","STA_sd(Ad",0.1009,0.0191,0.067,0.1415,1.0006,3266,5441
"631","SPTO","STA_sd(hu_Intercept)",1.2099,0.3382,0.586,1.9161,1.0002,3931,5810
"632","SPTO","STA_sd(hu_Ad",0.2719,0.0902,0.0907,0.4562,1.0007,2113,2000
"633","SPTO","STA_cor(Intercept,Ad",-0.3561,0.1956,-0.6683,0.087,1.0004,3275,4981
"634","SPTO","STA_cor(hu_Intercept,hu_Ad",-0.5569,0.2996,-0.8895,0.3263,1.0003,2821,2893
"635","SPTO","year_sd(Intercept)",0.1613,0.0507,0.0686,0.2699,0.9999,4852,6000
"636","SPTO","year_sd(hu_Intercept)",0.2267,0.1512,0.0108,0.5599,0.9999,5528,6522
"637","SPTO","sigma",0.6596,0.0207,0.6197,0.7009,0.9998,6979,7081
"638","SWTH","Intercept",-0.8176,0.1024,-1.0208,-0.6208,1.0002,6264,7074
"639","SWTH","hu_Intercept",0.0781,0.2318,-0.3763,0.5318,1.0005,5435,6641
"640","SWTH","Adult",-0.055,0.0085,-0.0723,-0.0391,1.0004,3470,5989
"641","SWTH","hu_Adult",-0.0992,0.0173,-0.1363,-0.0682,1.0009,4164,5856
"642","SWTH","STA_sd(Intercept)",0.6035,0.0859,0.4477,0.7835,1.0004,5413,6933
